step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
3350,214396650,17.708924055099487,mem64_147M_1024_b64k_s30k,1.0,1.05671875,
3400,217596600,17.73263716697693,mem64_147M_1024_b64k_s30k,1.0,1.045,
3450,220796550,17.729883432388306,mem64_147M_1024_b64k_s30k,1.0,1.058671875,
3500,223996500,14.522716522216797,mem64_147M_1024_b64k_s30k,1.0,,1.034609375
3500,223996500,32.444666385650635,mem64_147M_1024_b64k_s30k,1.0,1.046875,
3550,227196450,17.67866277694702,mem64_147M_1024_b64k_s30k,1.0,1.054375,
3600,230396400,17.72244358062744,mem64_147M_1024_b64k_s30k,1.0,1.0384375,
3650,233596350,17.695734977722168,mem64_147M_1024_b64k_s30k,1.0,1.0484375,
3700,236796300,17.71577262878418,mem64_147M_1024_b64k_s30k,1.0,1.042421875,
3750,239996250,17.702802658081055,mem64_147M_1024_b64k_s30k,1.0,1.031953125,
3800,243196200,17.71282434463501,mem64_147M_1024_b64k_s30k,1.0,1.03265625,
3850,246396150,17.68394923210144,mem64_147M_1024_b64k_s30k,1.0,1.018515625,
3900,249596100,17.69208788871765,mem64_147M_1024_b64k_s30k,1.0,1.051171875,
3950,252796050,17.675414323806763,mem64_147M_1024_b64k_s30k,1.0,1.020078125,
4000,255996000,14.5296790599823,mem64_147M_1024_b64k_s30k,1.0,,1.02609375
4000,255996000,32.44298028945923,mem64_147M_1024_b64k_s30k,1.0,1.026484375,
4050,259195950,17.70562744140625,mem64_147M_1024_b64k_s30k,1.0,1.01734375,
4100,262395900,17.699949741363525,mem64_147M_1024_b64k_s30k,1.0,1.044140625,
4150,265595850,17.71875238418579,mem64_147M_1024_b64k_s30k,1.0,1.01171875,
4200,268795800,17.695348024368286,mem64_147M_1024_b64k_s30k,1.0,1.03921875,
4250,271995750,17.70676612854004,mem64_147M_1024_b64k_s30k,1.0,1.02671875,
4300,275195700,17.705814838409424,mem64_147M_1024_b64k_s30k,1.0,1.0165625,
4350,278395650,17.689274787902832,mem64_147M_1024_b64k_s30k,1.0,1.02671875,
4400,281595600,17.706424713134766,mem64_147M_1024_b64k_s30k,1.0,1.0203125,
4450,284795550,17.713818311691284,mem64_147M_1024_b64k_s30k,1.0,1.0178125,
4500,287995500,14.476897239685059,mem64_147M_1024_b64k_s30k,1.0,,1.0069921875
4500,287995500,32.440152406692505,mem64_147M_1024_b64k_s30k,1.0,1.020859375,
4550,291195450,17.696955919265747,mem64_147M_1024_b64k_s30k,1.0,1.023046875,
4600,294395400,17.709222555160522,mem64_147M_1024_b64k_s30k,1.0,1.01421875,
4650,297595350,17.706300258636475,mem64_147M_1024_b64k_s30k,1.0,1.005078125,
4700,300795300,17.716625213623047,mem64_147M_1024_b64k_s30k,1.0,1.018125,
4750,303995250,17.715741395950317,mem64_147M_1024_b64k_s30k,1.0,1.0075,
4800,307195200,17.68285894393921,mem64_147M_1024_b64k_s30k,1.0,0.98828125,
4850,310395150,17.687071323394775,mem64_147M_1024_b64k_s30k,1.0,0.996484375,
4900,313595100,17.708176374435425,mem64_147M_1024_b64k_s30k,1.0,0.999609375,
4950,316795050,17.675958395004272,mem64_147M_1024_b64k_s30k,1.0,1.011796875,
5000,319995000,14.498425245285034,mem64_147M_1024_b64k_s30k,1.0,,0.9933203125
5000,319995000,35.06167411804199,mem64_147M_1024_b64k_s30k,1.0,1.02109375,
5050,323194950,17.70645260810852,mem64_147M_1024_b64k_s30k,1.0,1.00265625,
5100,326394900,17.701717853546143,mem64_147M_1024_b64k_s30k,1.0,1.001171875,
5150,329594850,17.712276935577393,mem64_147M_1024_b64k_s30k,1.0,0.998359375,
5200,332794800,17.726969480514526,mem64_147M_1024_b64k_s30k,1.0,0.99078125,
5250,335994750,17.696587085723877,mem64_147M_1024_b64k_s30k,1.0,1.0,
5300,339194700,17.736234664916992,mem64_147M_1024_b64k_s30k,1.0,1.012578125,
5350,342394650,17.706462144851685,mem64_147M_1024_b64k_s30k,1.0,0.988515625,
5400,345594600,17.692471742630005,mem64_147M_1024_b64k_s30k,1.0,0.99453125,
5450,348794550,17.70759916305542,mem64_147M_1024_b64k_s30k,1.0,1.008515625,
5500,351994500,14.529218435287476,mem64_147M_1024_b64k_s30k,1.0,,0.9862890625
5500,351994500,32.47567176818848,mem64_147M_1024_b64k_s30k,1.0,0.99453125,
5550,355194450,17.743042945861816,mem64_147M_1024_b64k_s30k,1.0,0.996640625,
5600,358394400,17.729459762573242,mem64_147M_1024_b64k_s30k,1.0,0.98203125,
5650,361594350,17.706819534301758,mem64_147M_1024_b64k_s30k,1.0,0.986796875,
5700,364794300,17.712417364120483,mem64_147M_1024_b64k_s30k,1.0,0.983359375,
5750,367994250,17.69580841064453,mem64_147M_1024_b64k_s30k,1.0,0.995078125,
5800,371194200,17.731037378311157,mem64_147M_1024_b64k_s30k,1.0,0.992265625,
5850,374394150,17.707916259765625,mem64_147M_1024_b64k_s30k,1.0,0.97484375,
5900,377594100,17.69350576400757,mem64_147M_1024_b64k_s30k,1.0,0.980703125,
5950,380794050,17.693347692489624,mem64_147M_1024_b64k_s30k,1.0,0.98875,
6000,383994000,14.495760679244995,mem64_147M_1024_b64k_s30k,1.0,,0.9697265625
6000,383994000,32.44158601760864,mem64_147M_1024_b64k_s30k,1.0,0.97890625,
6050,387193950,17.73469114303589,mem64_147M_1024_b64k_s30k,1.0,0.994921875,
6100,390393900,17.689571857452393,mem64_147M_1024_b64k_s30k,1.0,0.97765625,
6150,393593850,17.72472620010376,mem64_147M_1024_b64k_s30k,1.0,0.9853125,
6200,396793800,17.73169207572937,mem64_147M_1024_b64k_s30k,1.0,0.985859375,
6250,399993750,17.70114302635193,mem64_147M_1024_b64k_s30k,1.0,0.973984375,
6300,403193700,17.699936628341675,mem64_147M_1024_b64k_s30k,1.0,0.99125,
6350,406393650,17.696083784103394,mem64_147M_1024_b64k_s30k,1.0,0.977578125,
6400,409593600,17.703049421310425,mem64_147M_1024_b64k_s30k,1.0,0.97296875,
6450,412793550,17.742037773132324,mem64_147M_1024_b64k_s30k,1.0,0.971796875,
6500,415993500,15.55941390991211,mem64_147M_1024_b64k_s30k,1.0,,0.9676953125
6500,415993500,33.50271248817444,mem64_147M_1024_b64k_s30k,1.0,0.992734375,
6550,419193450,17.68730592727661,mem64_147M_1024_b64k_s30k,1.0,0.9803125,
6600,422393400,17.6974139213562,mem64_147M_1024_b64k_s30k,1.0,0.981015625,
6650,425593350,17.678447246551514,mem64_147M_1024_b64k_s30k,1.0,0.97359375,
6700,428793300,17.715277194976807,mem64_147M_1024_b64k_s30k,1.0,0.97484375,
6750,431993250,17.72779417037964,mem64_147M_1024_b64k_s30k,1.0,0.97546875,
6800,435193200,17.70026445388794,mem64_147M_1024_b64k_s30k,1.0,0.975859375,
6850,438393150,17.707103729248047,mem64_147M_1024_b64k_s30k,1.0,0.9646875,
6900,441593100,17.72192692756653,mem64_147M_1024_b64k_s30k,1.0,0.97265625,
6950,444793050,17.72671937942505,mem64_147M_1024_b64k_s30k,1.0,0.980078125,
7000,447993000,14.532028436660767,mem64_147M_1024_b64k_s30k,1.0,,0.9601953125
7000,447993000,34.68957448005676,mem64_147M_1024_b64k_s30k,1.0,0.971328125,
7050,451192950,17.71133017539978,mem64_147M_1024_b64k_s30k,1.0,0.966953125,
7100,454392900,17.70842218399048,mem64_147M_1024_b64k_s30k,1.0,0.962421875,
7150,457592850,17.701847553253174,mem64_147M_1024_b64k_s30k,1.0,0.9690625,
7200,460792800,17.71212649345398,mem64_147M_1024_b64k_s30k,1.0,0.9628125,
7250,463992750,17.701361656188965,mem64_147M_1024_b64k_s30k,1.0,0.970390625,
7300,467192700,17.69808578491211,mem64_147M_1024_b64k_s30k,1.0,0.967734375,
7350,470392650,17.72405195236206,mem64_147M_1024_b64k_s30k,1.0,0.961640625,
7400,473592600,17.691261768341064,mem64_147M_1024_b64k_s30k,1.0,0.95515625,
7450,476792550,17.69457197189331,mem64_147M_1024_b64k_s30k,1.0,0.965,
7500,479992500,14.518315315246582,mem64_147M_1024_b64k_s30k,1.0,,0.9579296875
7500,479992500,32.460673093795776,mem64_147M_1024_b64k_s30k,1.0,0.9746875,
7550,483192450,17.703622579574585,mem64_147M_1024_b64k_s30k,1.0,0.95375,
7600,486392400,17.73039221763611,mem64_147M_1024_b64k_s30k,1.0,0.964375,
7650,489592350,17.70349931716919,mem64_147M_1024_b64k_s30k,1.0,0.960546875,
7700,492792300,17.705406427383423,mem64_147M_1024_b64k_s30k,1.0,0.9775,
7750,495992250,17.682833909988403,mem64_147M_1024_b64k_s30k,1.0,0.974609375,
7800,499192200,17.694295644760132,mem64_147M_1024_b64k_s30k,1.0,0.964140625,
7850,502392150,17.685166835784912,mem64_147M_1024_b64k_s30k,1.0,0.9615625,
7900,505592100,17.72869348526001,mem64_147M_1024_b64k_s30k,1.0,0.9578125,
7950,508792050,17.718790531158447,mem64_147M_1024_b64k_s30k,1.0,0.95375,
8000,511992000,14.5404212474823,mem64_147M_1024_b64k_s30k,1.0,,0.9468359375
8000,511992000,32.48845839500427,mem64_147M_1024_b64k_s30k,1.0,0.95171875,
8050,515191950,17.701584577560425,mem64_147M_1024_b64k_s30k,1.0,0.95421875,
8100,518391900,17.687010765075684,mem64_147M_1024_b64k_s30k,1.0,0.950546875,
8150,521591850,17.716509580612183,mem64_147M_1024_b64k_s30k,1.0,0.962578125,
8200,524791800,17.688404083251953,mem64_147M_1024_b64k_s30k,1.0,0.9540625,
8250,527991750,17.713648080825806,mem64_147M_1024_b64k_s30k,1.0,0.94265625,
8300,531191700,17.67936658859253,mem64_147M_1024_b64k_s30k,1.0,0.9628125,
8350,534391650,17.693763494491577,mem64_147M_1024_b64k_s30k,1.0,0.956875,
8400,537591600,17.669547080993652,mem64_147M_1024_b64k_s30k,1.0,0.958984375,
8450,540791550,17.668286561965942,mem64_147M_1024_b64k_s30k,1.0,0.948203125,
8500,543991500,14.530186891555786,mem64_147M_1024_b64k_s30k,1.0,,0.9412109375
8500,543991500,32.488953590393066,mem64_147M_1024_b64k_s30k,1.0,0.947734375,
8550,547191450,17.705608367919922,mem64_147M_1024_b64k_s30k,1.0,0.95890625,
8600,550391400,17.698877811431885,mem64_147M_1024_b64k_s30k,1.0,0.956875,
8650,553591350,17.699865102767944,mem64_147M_1024_b64k_s30k,1.0,0.9446875,
8700,556791300,17.705084562301636,mem64_147M_1024_b64k_s30k,1.0,0.9428125,
