step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,167.5342082977295,mem32_147M_1024_b64k_s30k,0.051,3.5315563725490198,
100,6399900,19.930084705352783,mem32_147M_1024_b64k_s30k,0.101,2.775625,
150,9599850,22.57702398300171,mem32_147M_1024_b64k_s30k,0.151,2.4728125,
200,12799800,17.64346933364868,mem32_147M_1024_b64k_s30k,0.201,2.1690625,
250,15999750,17.730396032333374,mem32_147M_1024_b64k_s30k,0.251,1.991875,
300,19199700,17.68763756752014,mem32_147M_1024_b64k_s30k,0.301,1.85671875,
350,22399650,17.68381929397583,mem32_147M_1024_b64k_s30k,0.351,1.73796875,
400,25599600,17.71624493598938,mem32_147M_1024_b64k_s30k,0.401,1.6425,
450,28799550,17.724847316741943,mem32_147M_1024_b64k_s30k,0.451,1.63125,
500,31999500,51.4758517742157,mem32_147M_1024_b64k_s30k,0.501,,1.5853125
500,31999500,69.34654951095581,mem32_147M_1024_b64k_s30k,0.501,1.57875,
550,35199450,17.659785747528076,mem32_147M_1024_b64k_s30k,0.551,1.56375,
600,38399400,17.73301672935486,mem32_147M_1024_b64k_s30k,0.601,1.5134375,
650,41599350,17.707433938980103,mem32_147M_1024_b64k_s30k,0.651,1.5071875,
700,44799300,17.712295293807983,mem32_147M_1024_b64k_s30k,0.701,1.50265625,
750,47999250,17.665411710739136,mem32_147M_1024_b64k_s30k,0.751,1.4809375,
800,51199200,19.9481520652771,mem32_147M_1024_b64k_s30k,0.801,1.45875,
850,54399150,17.749452829360962,mem32_147M_1024_b64k_s30k,0.851,1.42921875,
900,57599100,17.71851658821106,mem32_147M_1024_b64k_s30k,0.901,1.45015625,
950,60799050,17.702127695083618,mem32_147M_1024_b64k_s30k,0.951,1.42171875,
1000,63999000,14.647940397262573,mem32_147M_1024_b64k_s30k,1.0,,1.409140625
1000,63999000,32.56804609298706,mem32_147M_1024_b64k_s30k,1.0,1.403125,
1050,67198950,17.66516089439392,mem32_147M_1024_b64k_s30k,1.0,1.40859375,
1100,70398900,17.677196979522705,mem32_147M_1024_b64k_s30k,1.0,1.37953125,
1150,73598850,17.694649696350098,mem32_147M_1024_b64k_s30k,1.0,1.38453125,
1200,76798800,17.694134950637817,mem32_147M_1024_b64k_s30k,1.0,1.3290625,
1250,79998750,17.723671913146973,mem32_147M_1024_b64k_s30k,1.0,1.3371875,
1300,83198700,17.731182098388672,mem32_147M_1024_b64k_s30k,1.0,1.2796875,
1350,86398650,17.689563751220703,mem32_147M_1024_b64k_s30k,1.0,1.25078125,
1400,89598600,17.72044825553894,mem32_147M_1024_b64k_s30k,1.0,1.22609375,
1450,92798550,17.73137879371643,mem32_147M_1024_b64k_s30k,1.0,1.2146875,
1500,95998500,14.652153491973877,mem32_147M_1024_b64k_s30k,1.0,,1.16890625
1500,95998500,32.56200909614563,mem32_147M_1024_b64k_s30k,1.0,1.1815625,
1550,99198450,17.665059089660645,mem32_147M_1024_b64k_s30k,1.0,1.17625,
1600,102398400,17.715961456298828,mem32_147M_1024_b64k_s30k,1.0,1.155,
1650,105598350,17.684067487716675,mem32_147M_1024_b64k_s30k,1.0,1.15984375,
1700,108798300,17.709160566329956,mem32_147M_1024_b64k_s30k,1.0,1.1578125,
1750,111998250,17.753047466278076,mem32_147M_1024_b64k_s30k,1.0,1.16234375,
1800,115198200,17.71729040145874,mem32_147M_1024_b64k_s30k,1.0,1.14046875,
1850,118398150,17.73529624938965,mem32_147M_1024_b64k_s30k,1.0,1.14359375,
1900,121598100,17.637837171554565,mem32_147M_1024_b64k_s30k,1.0,1.112890625,
1950,124798050,17.68665885925293,mem32_147M_1024_b64k_s30k,1.0,1.130546875,
2000,127998000,14.667868852615356,mem32_147M_1024_b64k_s30k,1.0,,1.117890625
2000,127998000,32.54522252082825,mem32_147M_1024_b64k_s30k,1.0,1.111875,
