step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
3350,214396650,20.96295714378357,mem32_147M_2048_b64k_s30k,1.0,1.020703125,
3400,217596600,20.971680164337158,mem32_147M_2048_b64k_s30k,1.0,1.036796875,
3450,220796550,20.993469715118408,mem32_147M_2048_b64k_s30k,1.0,1.023828125,
3500,223996500,16.29805850982666,mem32_147M_2048_b64k_s30k,1.0,,1.026875
3500,223996500,37.413451194763184,mem32_147M_2048_b64k_s30k,1.0,1.033515625,
3550,227196450,20.875003814697266,mem32_147M_2048_b64k_s30k,1.0,1.02734375,
3600,230396400,20.95507502555847,mem32_147M_2048_b64k_s30k,1.0,1.029140625,
3650,233596350,20.949628353118896,mem32_147M_2048_b64k_s30k,1.0,1.02515625,
3700,236796300,20.779699087142944,mem32_147M_2048_b64k_s30k,1.0,1.0103125,
3750,239996250,20.919827938079834,mem32_147M_2048_b64k_s30k,1.0,1.020703125,
3800,243196200,20.943610668182373,mem32_147M_2048_b64k_s30k,1.0,1.00453125,
3850,246396150,20.83028483390808,mem32_147M_2048_b64k_s30k,1.0,1.020546875,
3900,249596100,20.952927112579346,mem32_147M_2048_b64k_s30k,1.0,1.015703125,
3950,252796050,21.010584831237793,mem32_147M_2048_b64k_s30k,1.0,1.0371875,
4000,255996000,16.31158447265625,mem32_147M_2048_b64k_s30k,1.0,,1.001484375
4000,255996000,37.411983013153076,mem32_147M_2048_b64k_s30k,1.0,1.0253125,
4050,259195950,20.96680736541748,mem32_147M_2048_b64k_s30k,1.0,1.0234375,
4100,262395900,20.862627029418945,mem32_147M_2048_b64k_s30k,1.0,1.003984375,
4150,265595850,20.96726369857788,mem32_147M_2048_b64k_s30k,1.0,0.9996875,
4200,268795800,20.89534306526184,mem32_147M_2048_b64k_s30k,1.0,1.018203125,
4250,271995750,20.91061282157898,mem32_147M_2048_b64k_s30k,1.0,1.014296875,
4300,275195700,20.932841062545776,mem32_147M_2048_b64k_s30k,1.0,1.013515625,
4350,278395650,21.010194778442383,mem32_147M_2048_b64k_s30k,1.0,1.016875,
4400,281595600,21.005274534225464,mem32_147M_2048_b64k_s30k,1.0,1.019140625,
4450,284795550,20.92585563659668,mem32_147M_2048_b64k_s30k,1.0,1.01109375,
4500,287995500,16.243252277374268,mem32_147M_2048_b64k_s30k,1.0,,0.992421875
4500,287995500,37.328031063079834,mem32_147M_2048_b64k_s30k,1.0,1.009140625,
4550,291195450,20.92060899734497,mem32_147M_2048_b64k_s30k,1.0,1.0065625,
4600,294395400,20.90178108215332,mem32_147M_2048_b64k_s30k,1.0,1.003046875,
