step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
0,0,175.90610480308533,smollm-135M-50k/uncompressed,8192,50000,1000000,0.0005,2.9474740028381348,,19.05775260925293,,0.5234375
1,49999,91.17707586288452,smollm-135M-50k/uncompressed,8195,50000,1000000,0.001,2.8113365173339844,,16.632131576538086,,0.478515625
2,99998,0.8956668376922607,smollm-135M-50k/uncompressed,8198,50000,1000000,0.0015,2.7719991207122803,,15.990569114685059,,0.5390625
3,149997,0.9017834663391113,smollm-135M-50k/uncompressed,8202,50000,1000000,0.002,2.778613328933716,,16.0966854095459,,0.55078125
4,199996,0.9062666893005371,smollm-135M-50k/uncompressed,8205,50000,1000000,0.0025,2.859297275543213,,17.449260711669922,,0.5703125
5,249995,0.8632645606994629,smollm-135M-50k/uncompressed,8209,50000,1000000,0.003,2.9014642238616943,,18.200775146484375,,0.5859375
6,299994,0.8787362575531006,smollm-135M-50k/uncompressed,8212,50000,1000000,0.0035,2.8174893856048584,,16.734783172607422,,0.490234375
7,349993,0.9120838642120361,smollm-135M-50k/uncompressed,8216,50000,1000000,0.004,3.0303025245666504,,20.703495025634766,,0.49609375
8,399992,0.9505269527435303,smollm-135M-50k/uncompressed,8219,50000,1000000,0.0045,2.972651243209839,,19.54366683959961,,1.1640625
9,449991,0.9173569679260254,smollm-135M-50k/uncompressed,8223,50000,1000000,0.005,2.7292513847351074,,15.321413040161133,,1.1796875
10,499990,0.9084427356719971,smollm-135M-50k/uncompressed,8226,50000,1000000,0.0055,2.9621214866638184,,19.33895492553711,,0.51953125
11,549989,0.9774124622344971,smollm-135M-50k/uncompressed,8230,50000,1000000,0.006,2.854977607727051,,17.374048233032227,,0.494140625
12,599988,1.0673720836639404,smollm-135M-50k/uncompressed,8233,50000,1000000,0.0065,2.8137271404266357,,16.67194175720215,,4.4375
13,649987,1.0075864791870117,smollm-135M-50k/uncompressed,8237,50000,1000000,0.007,2.635544538497925,,13.950906753540039,,1.0
14,699986,0.9248650074005127,smollm-135M-50k/uncompressed,8240,50000,1000000,0.0075,2.8570034503936768,,17.40928077697754,,0.47265625
15,749985,0.8925302028656006,smollm-135M-50k/uncompressed,8244,50000,1000000,0.008,2.9379467964172363,,18.87704849243164,,0.53515625
16,799984,0.866976261138916,smollm-135M-50k/uncompressed,8247,50000,1000000,0.0085,2.9420366287231445,,18.954410552978516,,0.55859375
17,849983,0.8820273876190186,smollm-135M-50k/uncompressed,8251,50000,1000000,0.009,2.9240832328796387,,18.617151260375977,,0.494140625
18,899982,0.8770759105682373,smollm-135M-50k/uncompressed,8254,50000,1000000,0.0095,2.892320394515991,,18.035110473632812,,0.494140625
19,949981,0.8744192123413086,smollm-135M-50k/uncompressed,8258,50000,1000000,0.01,2.94223690032959,,18.958206176757812,,0.53125
20,999980,0.9032337665557861,smollm-135M-50k/uncompressed,8261,50000,1000000,0.0105,2.9012134075164795,,18.196210861206055,,0.486328125
21,1049979,0.993560791015625,smollm-135M-50k/uncompressed,8265,50000,1000000,0.011,2.8105432987213135,,16.61894416809082,,0.46484375
22,1099978,0.9590404033660889,smollm-135M-50k/uncompressed,8268,50000,1000000,0.0115,2.8438453674316406,,17.18170928955078,,0.494140625
23,1149977,0.9480440616607666,smollm-135M-50k/uncompressed,8272,50000,1000000,0.012,2.9988608360290527,,20.06266975402832,,0.56640625
24,1199976,0.8697304725646973,smollm-135M-50k/uncompressed,8275,50000,1000000,0.0125,3.0376973152160645,,20.857160568237305,,0.609375
25,1249975,0.9754331111907959,smollm-135M-50k/uncompressed,8279,50000,1000000,0.013,2.8592822551727295,,17.448999404907227,,0.53515625
26,1299974,0.9616918563842773,smollm-135M-50k/uncompressed,8282,50000,1000000,0.0135,2.752241849899292,,15.677740097045898,,0.470703125
27,1349973,0.8926522731781006,smollm-135M-50k/uncompressed,8286,50000,1000000,0.014,2.819585084915161,,16.7698917388916,,0.58984375
28,1399972,0.8912489414215088,smollm-135M-50k/uncompressed,8289,50000,1000000,0.0145,2.9891340732574463,,19.868471145629883,,0.53515625
29,1449971,0.9083831310272217,smollm-135M-50k/uncompressed,8293,50000,1000000,0.015,2.9194188117980957,,18.530513763427734,,0.486328125
30,1499970,0.8872888088226318,smollm-135M-50k/uncompressed,8296,50000,1000000,0.0155,2.8635878562927246,,17.524288177490234,,0.462890625
31,1549969,0.8834693431854248,smollm-135M-50k/uncompressed,8300,50000,1000000,0.016,2.8088035583496094,,16.590057373046875,,0.484375
32,1599968,0.9040999412536621,smollm-135M-50k/uncompressed,8303,50000,1000000,0.0165,2.5750372409820557,,13.131806373596191,,0.478515625
33,1649967,1.0091352462768555,smollm-135M-50k/uncompressed,8306,50000,1000000,0.017,2.5344862937927246,,12.60995101928711,,0.4765625
34,1699966,1.0105822086334229,smollm-135M-50k/uncompressed,8310,50000,1000000,0.0175,2.7537472248077393,,15.701358795166016,,0.453125
35,1749965,0.8883709907531738,smollm-135M-50k/uncompressed,8313,50000,1000000,0.018,2.795131206512451,,16.364776611328125,,0.474609375
36,1799964,0.8778939247131348,smollm-135M-50k/uncompressed,8317,50000,1000000,0.0185,2.8055248260498047,,16.535751342773438,,0.478515625
37,1849963,0.8921408653259277,smollm-135M-50k/uncompressed,8320,50000,1000000,0.019,2.9574737548828125,,19.24928092956543,,0.52734375
38,1899962,0.8957798480987549,smollm-135M-50k/uncompressed,8324,50000,1000000,0.0195,2.8722305297851562,,17.676401138305664,,0.5390625
39,1949961,0.8904976844787598,smollm-135M-50k/uncompressed,8327,50000,1000000,0.02,2.7236533164978027,,15.235881805419922,,0.51953125
40,1999960,0.8583242893218994,smollm-135M-50k/uncompressed,8331,50000,1000000,0.0205,2.6915690898895264,,14.754809379577637,,0.56640625
41,2049959,0.8963310718536377,smollm-135M-50k/uncompressed,8334,50000,1000000,0.021,2.7863516807556152,,16.221729278564453,,0.54296875
42,2099958,0.9451053142547607,smollm-135M-50k/uncompressed,8338,50000,1000000,0.0215,2.9580395221710205,,19.260175704956055,,0.5
43,2149957,0.9801459312438965,smollm-135M-50k/uncompressed,8341,50000,1000000,0.022,3.021268129348755,,20.51729393005371,,0.498046875
44,2199956,0.8852999210357666,smollm-135M-50k/uncompressed,8345,50000,1000000,0.0225,2.919381618499756,,18.52982521057129,,0.55078125
45,2249955,0.8433718681335449,smollm-135M-50k/uncompressed,8348,50000,1000000,0.023,2.864380121231079,,17.538177490234375,,0.61328125
46,2299954,0.8481848239898682,smollm-135M-50k/uncompressed,8352,50000,1000000,0.0235,2.9245121479034424,,18.625137329101562,,0.6484375
47,2349953,0.8666365146636963,smollm-135M-50k/uncompressed,8355,50000,1000000,0.024,2.8668158054351807,,17.580947875976562,,0.625
48,2399952,0.8622715473175049,smollm-135M-50k/uncompressed,8359,50000,1000000,0.0245,2.813333749771118,,16.66538429260254,,0.5546875
49,2449951,0.869011402130127,smollm-135M-50k/uncompressed,8362,50000,1000000,0.025,2.7866363525390625,,16.226348876953125,,0.58203125
50,2499950,46.31959557533264,smollm-135M-50k/uncompressed,8366,50000,1000000,0.0255,,2.9015625,,18.202564239501953,
50,2499950,47.31205368041992,smollm-135M-50k/uncompressed,8366,50000,1000000,0.0255,2.81538462638855,,16.69959831237793,,0.5234375
51,2549949,1.1239831447601318,smollm-135M-50k/uncompressed,8369,50000,1000000,0.026,2.9496965408325195,,19.100156784057617,,0.52734375
52,2599948,0.9072909355163574,smollm-135M-50k/uncompressed,8373,50000,1000000,0.0265,2.9563076496124268,,19.226848602294922,,0.5546875
53,2649947,1.0224437713623047,smollm-135M-50k/uncompressed,8376,50000,1000000,0.027,2.8237953186035156,,16.84064483642578,,0.57421875
54,2699946,0.9936263561248779,smollm-135M-50k/uncompressed,8380,50000,1000000,0.0275,2.8530426025390625,,17.34046173095703,,0.5078125
55,2749945,0.9577410221099854,smollm-135M-50k/uncompressed,8383,50000,1000000,0.028,2.7678959369659424,,15.925091743469238,,0.490234375
56,2799944,0.9672489166259766,smollm-135M-50k/uncompressed,8387,50000,1000000,0.0285,2.7216577529907227,,15.2055082321167,,0.4609375
57,2849943,0.926145076751709,smollm-135M-50k/uncompressed,8390,50000,1000000,0.029,2.824845314025879,,16.85833740234375,,0.55859375
58,2899942,0.8867473602294922,smollm-135M-50k/uncompressed,8394,50000,1000000,0.0295,2.8495025634765625,,17.279184341430664,,0.5390625
59,2949941,0.8556649684906006,smollm-135M-50k/uncompressed,8397,50000,1000000,0.03,2.8788509368896484,,17.79381561279297,,0.54296875
60,2999940,0.893333911895752,smollm-135M-50k/uncompressed,8401,50000,1000000,0.0305,2.8232979774475098,,16.832271575927734,,0.54296875
61,3049939,0.9390397071838379,smollm-135M-50k/uncompressed,8404,50000,1000000,0.031,2.811228036880493,,16.630329132080078,,0.482421875
62,3099938,0.9395167827606201,smollm-135M-50k/uncompressed,8408,50000,1000000,0.0315,2.7885076999664307,,16.256742477416992,,0.486328125
63,3149937,0.8822731971740723,smollm-135M-50k/uncompressed,8411,50000,1000000,0.032,2.7106099128723145,,15.038444519042969,,0.5078125
64,3199936,0.9340188503265381,smollm-135M-50k/uncompressed,8414,50000,1000000,0.0325,2.7654924392700195,,15.886861801147461,,0.50390625
65,3249935,0.9570941925048828,smollm-135M-50k/uncompressed,8418,50000,1000000,0.033,2.8551206588745117,,17.37653350830078,,0.5703125
66,3299934,0.8597533702850342,smollm-135M-50k/uncompressed,8421,50000,1000000,0.0335,2.8452658653259277,,17.206132888793945,,0.5546875
67,3349933,0.8797821998596191,smollm-135M-50k/uncompressed,8425,50000,1000000,0.034,2.996694564819336,,20.019254684448242,,0.6015625
68,3399932,0.8566961288452148,smollm-135M-50k/uncompressed,8428,50000,1000000,0.0345,3.055377244949341,,21.22919273376465,,0.6328125
69,3449931,0.905353307723999,smollm-135M-50k/uncompressed,8432,50000,1000000,0.035,2.9901652336120605,,19.88896942138672,,0.5625
70,3499930,0.8998048305511475,smollm-135M-50k/uncompressed,8435,50000,1000000,0.0355,2.921919584274292,,18.576913833618164,,0.51953125
71,3549929,0.8974833488464355,smollm-135M-50k/uncompressed,8439,50000,1000000,0.036,2.916661500930786,,18.479490280151367,,0.5078125
72,3599928,0.9430680274963379,smollm-135M-50k/uncompressed,8442,50000,1000000,0.0365,2.904358386993408,,18.253528594970703,,0.54296875
73,3649927,0.870659351348877,smollm-135M-50k/uncompressed,8446,50000,1000000,0.037,2.798656940460205,,16.422574996948242,,0.58203125
74,3699926,0.875849723815918,smollm-135M-50k/uncompressed,8449,50000,1000000,0.0375,2.8194499015808105,,16.767623901367188,,0.54296875
75,3749925,0.8703129291534424,smollm-135M-50k/uncompressed,8453,50000,1000000,0.038,2.8593294620513916,,17.44982147216797,,0.5234375
76,3799924,0.9197094440460205,smollm-135M-50k/uncompressed,8456,50000,1000000,0.0385,2.9071149826049805,,18.30391502380371,,0.478515625
77,3849923,0.9085578918457031,smollm-135M-50k/uncompressed,8460,50000,1000000,0.039,2.8989009857177734,,18.15418243408203,,0.478515625
78,3899922,0.918480396270752,smollm-135M-50k/uncompressed,8463,50000,1000000,0.0395,2.83831524848938,,17.08695411682129,,0.59765625
79,3949921,0.9603641033172607,smollm-135M-50k/uncompressed,8467,50000,1000000,0.04,2.883444309234619,,17.875736236572266,,0.578125
80,3999920,0.9409196376800537,smollm-135M-50k/uncompressed,8470,50000,1000000,0.0405,2.9770004749298096,,19.62885093688965,,0.54296875
81,4049919,0.934657096862793,smollm-135M-50k/uncompressed,8474,50000,1000000,0.041,2.9824283123016357,,19.73568344116211,,0.490234375
82,4099918,0.9830179214477539,smollm-135M-50k/uncompressed,8477,50000,1000000,0.0415,2.922489643096924,,18.587505340576172,,0.447265625
83,4149917,0.9266204833984375,smollm-135M-50k/uncompressed,8481,50000,1000000,0.042,2.7730369567871094,,16.007173538208008,,0.4921875
84,4199916,0.9477624893188477,smollm-135M-50k/uncompressed,8484,50000,1000000,0.0425,2.7585713863372803,,15.777287483215332,,0.5234375
85,4249915,0.9061295986175537,smollm-135M-50k/uncompressed,8488,50000,1000000,0.043,2.7823433876037598,,16.156837463378906,,0.55859375
86,4299914,0.8792431354522705,smollm-135M-50k/uncompressed,8491,50000,1000000,0.0435,2.8481390476226807,,17.255640029907227,,0.578125
87,4349913,0.8848261833190918,smollm-135M-50k/uncompressed,8495,50000,1000000,0.044,2.891719341278076,,18.024272918701172,,0.55859375
88,4399912,0.8854992389678955,smollm-135M-50k/uncompressed,8498,50000,1000000,0.0445,2.8114678859710693,,16.63431739807129,,0.58203125
89,4449911,0.8811492919921875,smollm-135M-50k/uncompressed,8502,50000,1000000,0.045,2.834649085998535,,17.024425506591797,,0.62109375
90,4499910,0.9653966426849365,smollm-135M-50k/uncompressed,8505,50000,1000000,0.0455,2.942399501800537,,18.961288452148438,,0.53125
91,4549909,0.9527065753936768,smollm-135M-50k/uncompressed,8509,50000,1000000,0.046,3.0051448345184326,,20.18914031982422,,1.03125
92,4599908,0.8745245933532715,smollm-135M-50k/uncompressed,8512,50000,1000000,0.0465,2.9950826168060303,,19.987010955810547,,0.5625
93,4649907,0.8799712657928467,smollm-135M-50k/uncompressed,8516,50000,1000000,0.047,2.9795408248901367,,19.67877769470215,,0.51953125
94,4699906,0.8911643028259277,smollm-135M-50k/uncompressed,8519,50000,1000000,0.0475,3.0133397579193115,,20.355268478393555,,0.478515625
95,4749905,1.0354828834533691,smollm-135M-50k/uncompressed,8522,50000,1000000,0.048,3.384521722793579,,29.503877639770508,,2.578125
96,4799904,0.976668119430542,smollm-135M-50k/uncompressed,8526,50000,1000000,0.0485,3.0988106727600098,,22.171566009521484,,0.9609375
97,4849903,0.8486981391906738,smollm-135M-50k/uncompressed,8529,50000,1000000,0.049,2.8416292667388916,,17.143674850463867,,0.6015625
98,4899902,0.8874831199645996,smollm-135M-50k/uncompressed,8533,50000,1000000,0.0495,2.915015459060669,,18.4490966796875,,0.5625
99,4949901,0.8812751770019531,smollm-135M-50k/uncompressed,8536,50000,1000000,0.05,2.8541462421417236,,17.359609603881836,,0.5625
100,4999900,3.6911733150482178,smollm-135M-50k/uncompressed,8540,50000,1000000,0.0505,,2.9015625,,18.202564239501953,
100,4999900,4.642479419708252,smollm-135M-50k/uncompressed,8540,50000,1000000,0.0505,2.7969486713409424,,16.39454460144043,,0.58203125
101,5049899,0.8958156108856201,smollm-135M-50k/uncompressed,8543,50000,1000000,0.051,2.776045799255371,,16.055408477783203,,0.51171875
102,5099898,0.9815361499786377,smollm-135M-50k/uncompressed,8547,50000,1000000,0.0515,2.9738597869873047,,19.567298889160156,,0.51171875
103,5149897,0.9580461978912354,smollm-135M-50k/uncompressed,8550,50000,1000000,0.052,3.0383036136627197,,20.869810104370117,,0.53125
104,5199896,0.949723482131958,smollm-135M-50k/uncompressed,8554,50000,1000000,0.0525,2.815732479095459,,16.705408096313477,,0.5625
105,5249895,0.8823387622833252,smollm-135M-50k/uncompressed,8557,50000,1000000,0.053,2.8451058864593506,,17.203380584716797,,0.54296875
106,5299894,0.8725199699401855,smollm-135M-50k/uncompressed,8561,50000,1000000,0.0535,2.8939011096954346,,18.063640594482422,,0.55078125
107,5349893,0.9150378704071045,smollm-135M-50k/uncompressed,8564,50000,1000000,0.054,2.811631441116333,,16.637039184570312,,0.53515625
