step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,216.38292932510376,mem64_147M_2048_b64k_s30k,0.051,3.5315563725490198,
100,6399900,23.573190450668335,mem64_147M_2048_b64k_s30k,0.101,2.8315625,
150,9599850,27.35828971862793,mem64_147M_2048_b64k_s30k,0.151,2.5346875,
200,12799800,20.926273107528687,mem64_147M_2048_b64k_s30k,0.201,2.26125,
250,15999750,23.122484922409058,mem64_147M_2048_b64k_s30k,0.251,2.045,
300,19199700,20.853332042694092,mem64_147M_2048_b64k_s30k,0.301,1.868125,
350,22399650,20.84774088859558,mem64_147M_2048_b64k_s30k,0.351,1.745,
400,25599600,20.818637371063232,mem64_147M_2048_b64k_s30k,0.401,1.6546875,
450,28799550,20.885228633880615,mem64_147M_2048_b64k_s30k,0.451,1.6440625,
500,31999500,53.946011543273926,mem64_147M_2048_b64k_s30k,0.501,,1.553203125
500,31999500,75.04378771781921,mem64_147M_2048_b64k_s30k,0.501,1.581875,
550,35199450,20.9332013130188,mem64_147M_2048_b64k_s30k,0.551,1.57375,
600,38399400,20.87344479560852,mem64_147M_2048_b64k_s30k,0.601,1.5353125,
650,41599350,20.87114977836609,mem64_147M_2048_b64k_s30k,0.651,1.51125,
700,44799300,20.8294460773468,mem64_147M_2048_b64k_s30k,0.701,1.48515625,
750,47999250,20.96848440170288,mem64_147M_2048_b64k_s30k,0.751,1.48921875,
800,51199200,23.101820707321167,mem64_147M_2048_b64k_s30k,0.801,1.45203125,
850,54399150,20.947251796722412,mem64_147M_2048_b64k_s30k,0.851,1.47734375,
900,57599100,20.941301584243774,mem64_147M_2048_b64k_s30k,0.901,1.463125,
950,60799050,20.938613891601562,mem64_147M_2048_b64k_s30k,0.951,1.4496875,
1000,63999000,16.13130021095276,mem64_147M_2048_b64k_s30k,1.0,,1.41453125
1000,63999000,37.247294902801514,mem64_147M_2048_b64k_s30k,1.0,1.42140625,
1050,67198950,20.970730304718018,mem64_147M_2048_b64k_s30k,1.0,1.39640625,
1100,70398900,20.97780728340149,mem64_147M_2048_b64k_s30k,1.0,1.41546875,
1150,73598850,21.006160020828247,mem64_147M_2048_b64k_s30k,1.0,1.41109375,
1200,76798800,20.90210199356079,mem64_147M_2048_b64k_s30k,1.0,1.37,
1250,79998750,20.889503479003906,mem64_147M_2048_b64k_s30k,1.0,1.376875,
1300,83198700,20.959289073944092,mem64_147M_2048_b64k_s30k,1.0,1.3484375,
1350,86398650,20.96440315246582,mem64_147M_2048_b64k_s30k,1.0,1.3259375,
1400,89598600,20.918906927108765,mem64_147M_2048_b64k_s30k,1.0,1.328125,
1450,92798550,20.94554901123047,mem64_147M_2048_b64k_s30k,1.0,1.3390625,
1500,95998500,16.147000551223755,mem64_147M_2048_b64k_s30k,1.0,,1.29890625
1500,95998500,37.26360893249512,mem64_147M_2048_b64k_s30k,1.0,1.309375,
1550,99198450,20.942434072494507,mem64_147M_2048_b64k_s30k,1.0,1.29546875,
1600,102398400,21.038809537887573,mem64_147M_2048_b64k_s30k,1.0,1.30078125,
1650,105598350,20.91494655609131,mem64_147M_2048_b64k_s30k,1.0,1.29359375,
1700,108798300,20.932317972183228,mem64_147M_2048_b64k_s30k,1.0,1.28171875,
1750,111998250,20.94922971725464,mem64_147M_2048_b64k_s30k,1.0,1.2759375,
1800,115198200,20.93316078186035,mem64_147M_2048_b64k_s30k,1.0,1.27734375,
1850,118398150,20.972548961639404,mem64_147M_2048_b64k_s30k,1.0,1.26453125,
1900,121598100,20.85666275024414,mem64_147M_2048_b64k_s30k,1.0,1.2565625,
1950,124798050,20.900802612304688,mem64_147M_2048_b64k_s30k,1.0,1.2496875,
2000,127998000,16.161988735198975,mem64_147M_2048_b64k_s30k,1.0,,1.221171875
2000,127998000,37.225356340408325,mem64_147M_2048_b64k_s30k,1.0,1.23578125,
2050,131197950,20.870454788208008,mem64_147M_2048_b64k_s30k,1.0,1.2196875,
2100,134397900,20.93255376815796,mem64_147M_2048_b64k_s30k,1.0,1.221875,
2150,137597850,20.98955464363098,mem64_147M_2048_b64k_s30k,1.0,1.20203125,
2200,140797800,21.050140380859375,mem64_147M_2048_b64k_s30k,1.0,1.20625,
2250,143997750,20.990248203277588,mem64_147M_2048_b64k_s30k,1.0,1.170625,
2300,147197700,20.949359893798828,mem64_147M_2048_b64k_s30k,1.0,1.15890625,
2350,150397650,20.975054264068604,mem64_147M_2048_b64k_s30k,1.0,1.13109375,
2400,153597600,20.919639587402344,mem64_147M_2048_b64k_s30k,1.0,1.11953125,
2450,156797550,20.929039001464844,mem64_147M_2048_b64k_s30k,1.0,1.12546875,
2500,159997500,16.10071039199829,mem64_147M_2048_b64k_s30k,1.0,,1.11890625
2500,159997500,37.4090518951416,mem64_147M_2048_b64k_s30k,1.0,1.107734375,
2550,163197450,20.915152311325073,mem64_147M_2048_b64k_s30k,1.0,1.105234375,
2600,166397400,20.97378969192505,mem64_147M_2048_b64k_s30k,1.0,1.080859375,
2650,169597350,20.94298791885376,mem64_147M_2048_b64k_s30k,1.0,1.08796875,
2700,172797300,20.89096689224243,mem64_147M_2048_b64k_s30k,1.0,1.08953125,
2750,175997250,20.98922610282898,mem64_147M_2048_b64k_s30k,1.0,1.09953125,
2800,179197200,20.908100605010986,mem64_147M_2048_b64k_s30k,1.0,1.088984375,
2850,182397150,21.032936573028564,mem64_147M_2048_b64k_s30k,1.0,1.07109375,
2900,185597100,20.95271134376526,mem64_147M_2048_b64k_s30k,1.0,1.0775,
2950,188797050,20.897523403167725,mem64_147M_2048_b64k_s30k,1.0,1.072265625,
3000,191997000,16.106892585754395,mem64_147M_2048_b64k_s30k,1.0,,1.05546875
3000,191997000,37.270050287246704,mem64_147M_2048_b64k_s30k,1.0,1.0571875,
3050,195196950,20.91959500312805,mem64_147M_2048_b64k_s30k,1.0,1.06375,
3100,198396900,20.927236557006836,mem64_147M_2048_b64k_s30k,1.0,1.045625,
3150,201596850,20.9562726020813,mem64_147M_2048_b64k_s30k,1.0,1.053984375,
3200,204796800,21.003363609313965,mem64_147M_2048_b64k_s30k,1.0,1.064296875,
3250,207996750,20.93077254295349,mem64_147M_2048_b64k_s30k,1.0,1.03984375,
3300,211196700,20.991699934005737,mem64_147M_2048_b64k_s30k,1.0,1.036171875,
3350,214396650,20.990238904953003,mem64_147M_2048_b64k_s30k,1.0,1.038984375,
3400,217596600,20.8465576171875,mem64_147M_2048_b64k_s30k,1.0,1.031640625,
3450,220796550,20.909706592559814,mem64_147M_2048_b64k_s30k,1.0,1.045703125,
3500,223996500,16.12370538711548,mem64_147M_2048_b64k_s30k,1.0,,1.030703125
3500,223996500,37.379079818725586,mem64_147M_2048_b64k_s30k,1.0,1.026875,
3550,227196450,21.0878849029541,mem64_147M_2048_b64k_s30k,1.0,1.039921875,
3600,230396400,20.97204566001892,mem64_147M_2048_b64k_s30k,1.0,1.026015625,
3650,233596350,21.040366649627686,mem64_147M_2048_b64k_s30k,1.0,1.03109375,
3700,236796300,20.93620991706848,mem64_147M_2048_b64k_s30k,1.0,1.02203125,
3750,239996250,21.028690338134766,mem64_147M_2048_b64k_s30k,1.0,1.02390625,
3800,243196200,20.927340745925903,mem64_147M_2048_b64k_s30k,1.0,1.030703125,
3850,246396150,20.97908926010132,mem64_147M_2048_b64k_s30k,1.0,1.016796875,
3900,249596100,20.910963535308838,mem64_147M_2048_b64k_s30k,1.0,1.016875,
3950,252796050,20.896005630493164,mem64_147M_2048_b64k_s30k,1.0,1.0153125,
4000,255996000,16.10854148864746,mem64_147M_2048_b64k_s30k,1.0,,1.0105859375
4000,255996000,37.29712653160095,mem64_147M_2048_b64k_s30k,1.0,1.013828125,
4050,259195950,20.982596397399902,mem64_147M_2048_b64k_s30k,1.0,1.014921875,
4100,262395900,23.227715969085693,mem64_147M_2048_b64k_s30k,1.0,1.013671875,
4150,265595850,21.015445232391357,mem64_147M_2048_b64k_s30k,1.0,1.009453125,
4200,268795800,20.952218294143677,mem64_147M_2048_b64k_s30k,1.0,1.0040625,
4250,271995750,20.926032543182373,mem64_147M_2048_b64k_s30k,1.0,1.012109375,
4300,275195700,20.954829692840576,mem64_147M_2048_b64k_s30k,1.0,1.027421875,
4350,278395650,20.939026594161987,mem64_147M_2048_b64k_s30k,1.0,1.01671875,
4400,281595600,20.91089129447937,mem64_147M_2048_b64k_s30k,1.0,1.00625,
4450,284795550,20.83714270591736,mem64_147M_2048_b64k_s30k,1.0,0.998984375,
4500,287995500,16.12664818763733,mem64_147M_2048_b64k_s30k,1.0,,0.9923828125
4500,287995500,37.30144667625427,mem64_147M_2048_b64k_s30k,1.0,0.99421875,
4550,291195450,20.889912128448486,mem64_147M_2048_b64k_s30k,1.0,1.01203125,
4600,294395400,20.930795669555664,mem64_147M_2048_b64k_s30k,1.0,0.993828125,
4650,297595350,20.972143173217773,mem64_147M_2048_b64k_s30k,1.0,0.999453125,
4700,300795300,20.87842059135437,mem64_147M_2048_b64k_s30k,1.0,1.0065625,
4750,303995250,21.034082174301147,mem64_147M_2048_b64k_s30k,1.0,0.98390625,
4800,307195200,20.958829879760742,mem64_147M_2048_b64k_s30k,1.0,1.00171875,
4850,310395150,20.95297861099243,mem64_147M_2048_b64k_s30k,1.0,1.000078125,
4900,313595100,21.02263832092285,mem64_147M_2048_b64k_s30k,1.0,0.984453125,
4950,316795050,20.983232975006104,mem64_147M_2048_b64k_s30k,1.0,0.990859375,
5000,319995000,16.08043146133423,mem64_147M_2048_b64k_s30k,1.0,,0.98453125
5000,319995000,38.7615065574646,mem64_147M_2048_b64k_s30k,1.0,0.98234375,
5050,323194950,21.047569036483765,mem64_147M_2048_b64k_s30k,1.0,0.98625,
5100,326394900,20.89441752433777,mem64_147M_2048_b64k_s30k,1.0,0.98328125,
5150,329594850,20.961678504943848,mem64_147M_2048_b64k_s30k,1.0,0.99734375,
5200,332794800,22.94958186149597,mem64_147M_2048_b64k_s30k,1.0,0.9978125,
5250,335994750,20.966864585876465,mem64_147M_2048_b64k_s30k,1.0,0.984921875,
5300,339194700,21.040016889572144,mem64_147M_2048_b64k_s30k,1.0,0.98796875,
5350,342394650,20.95729970932007,mem64_147M_2048_b64k_s30k,1.0,0.990859375,
5400,345594600,20.939863920211792,mem64_147M_2048_b64k_s30k,1.0,0.985234375,
5450,348794550,20.92961549758911,mem64_147M_2048_b64k_s30k,1.0,0.9821875,
5500,351994500,16.101282119750977,mem64_147M_2048_b64k_s30k,1.0,,0.977421875
5500,351994500,37.22615671157837,mem64_147M_2048_b64k_s30k,1.0,0.98453125,
5550,355194450,20.95112705230713,mem64_147M_2048_b64k_s30k,1.0,0.983515625,
5600,358394400,20.902913331985474,mem64_147M_2048_b64k_s30k,1.0,0.9825,
5650,361594350,21.0457661151886,mem64_147M_2048_b64k_s30k,1.0,0.978984375,
5700,364794300,21.02071762084961,mem64_147M_2048_b64k_s30k,1.0,0.9925,
5750,367994250,21.013955116271973,mem64_147M_2048_b64k_s30k,1.0,0.973984375,
5800,371194200,20.993045568466187,mem64_147M_2048_b64k_s30k,1.0,0.986328125,
5850,374394150,20.992096185684204,mem64_147M_2048_b64k_s30k,1.0,0.9771875,
5900,377594100,21.034262895584106,mem64_147M_2048_b64k_s30k,1.0,0.99578125,
5950,380794050,20.976235389709473,mem64_147M_2048_b64k_s30k,1.0,0.961171875,
6000,383994000,16.073983669281006,mem64_147M_2048_b64k_s30k,1.0,,0.974921875
6000,383994000,37.307955741882324,mem64_147M_2048_b64k_s30k,1.0,0.980625,
6050,387193950,20.952791452407837,mem64_147M_2048_b64k_s30k,1.0,0.971328125,
6100,390393900,20.917446613311768,mem64_147M_2048_b64k_s30k,1.0,0.96578125,
6150,393593850,21.02570366859436,mem64_147M_2048_b64k_s30k,1.0,0.966015625,
6200,396793800,21.044029235839844,mem64_147M_2048_b64k_s30k,1.0,0.985078125,
6250,399993750,20.882548809051514,mem64_147M_2048_b64k_s30k,1.0,0.96625,
6300,403193700,21.015451669692993,mem64_147M_2048_b64k_s30k,1.0,0.95984375,
6350,406393650,20.96962571144104,mem64_147M_2048_b64k_s30k,1.0,0.962265625,
6400,409593600,21.009482860565186,mem64_147M_2048_b64k_s30k,1.0,0.95953125,
6450,412793550,20.999372482299805,mem64_147M_2048_b64k_s30k,1.0,0.970546875,
6500,415993500,16.128995418548584,mem64_147M_2048_b64k_s30k,1.0,,0.9579296875
6500,415993500,37.3039493560791,mem64_147M_2048_b64k_s30k,1.0,0.953984375,
6550,419193450,20.916815519332886,mem64_147M_2048_b64k_s30k,1.0,0.96,
6600,422393400,20.98123574256897,mem64_147M_2048_b64k_s30k,1.0,0.961171875,
6650,425593350,20.98667812347412,mem64_147M_2048_b64k_s30k,1.0,0.95703125,
6700,428793300,20.89383578300476,mem64_147M_2048_b64k_s30k,1.0,0.959921875,
6750,431993250,21.082065105438232,mem64_147M_2048_b64k_s30k,1.0,0.9453125,
