step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,131.54029631614685,window_147M_2048_b64k_s30k,0.051,3.547794117647059,
100,6399900,19.417506217956543,window_147M_2048_b64k_s30k,0.101,2.7896875,
150,9599850,19.667874813079834,window_147M_2048_b64k_s30k,0.151,2.4878125,
200,12799800,19.522018432617188,window_147M_2048_b64k_s30k,0.201,2.22125,
250,15999750,19.450515508651733,window_147M_2048_b64k_s30k,0.251,1.9971875,
300,19199700,19.449702978134155,window_147M_2048_b64k_s30k,0.301,1.86328125,
350,22399650,19.494784832000732,window_147M_2048_b64k_s30k,0.351,1.74,
400,25599600,19.543797254562378,window_147M_2048_b64k_s30k,0.401,1.6578125,
450,28799550,19.43537664413452,window_147M_2048_b64k_s30k,0.451,1.5953125,
500,31999500,41.91505527496338,window_147M_2048_b64k_s30k,0.501,,1.58046875
500,31999500,61.597707986831665,window_147M_2048_b64k_s30k,0.501,1.555625,
550,35199450,19.579360008239746,window_147M_2048_b64k_s30k,0.551,1.565,
600,38399400,19.512195110321045,window_147M_2048_b64k_s30k,0.601,1.5353125,
650,41599350,19.459012508392334,window_147M_2048_b64k_s30k,0.651,1.50421875,
700,44799300,19.433080911636353,window_147M_2048_b64k_s30k,0.701,1.47890625,
750,47999250,19.453284978866577,window_147M_2048_b64k_s30k,0.751,1.47,
800,51199200,19.40694808959961,window_147M_2048_b64k_s30k,0.801,1.4503125,
850,54399150,19.538904428482056,window_147M_2048_b64k_s30k,0.851,1.4671875,
900,57599100,19.44591212272644,window_147M_2048_b64k_s30k,0.901,1.4384375,
950,60799050,19.36843776702881,window_147M_2048_b64k_s30k,0.951,1.41171875,
1000,63999000,14.658446550369263,window_147M_2048_b64k_s30k,1.0,,1.401953125
1000,63999000,34.307793855667114,window_147M_2048_b64k_s30k,1.0,1.4140625,
1050,67198950,19.373344898223877,window_147M_2048_b64k_s30k,1.0,1.37703125,
1100,70398900,19.3466374874115,window_147M_2048_b64k_s30k,1.0,1.38734375,
1150,73598850,19.557045936584473,window_147M_2048_b64k_s30k,1.0,1.4003125,
1200,76798800,19.37923812866211,window_147M_2048_b64k_s30k,1.0,1.37296875,
1250,79998750,19.473028659820557,window_147M_2048_b64k_s30k,1.0,1.34015625,
1300,83198700,19.403674602508545,window_147M_2048_b64k_s30k,1.0,1.34578125,
1350,86398650,19.44402551651001,window_147M_2048_b64k_s30k,1.0,1.3284375,
1400,89598600,19.558727741241455,window_147M_2048_b64k_s30k,1.0,1.345625,
1450,92798550,19.494596004486084,window_147M_2048_b64k_s30k,1.0,1.32421875,
1500,95998500,14.618091821670532,window_147M_2048_b64k_s30k,1.0,,1.2921875
1500,95998500,34.285064697265625,window_147M_2048_b64k_s30k,1.0,1.31921875,
1550,99198450,19.62553071975708,window_147M_2048_b64k_s30k,1.0,1.31,
1600,102398400,19.62133288383484,window_147M_2048_b64k_s30k,1.0,1.29,
1650,105598350,19.575581789016724,window_147M_2048_b64k_s30k,1.0,1.28953125,
1700,108798300,19.434399366378784,window_147M_2048_b64k_s30k,1.0,1.26140625,
1750,111998250,19.616930961608887,window_147M_2048_b64k_s30k,1.0,1.266875,
1800,115198200,19.605151891708374,window_147M_2048_b64k_s30k,1.0,1.2596875,
1850,118398150,19.439372539520264,window_147M_2048_b64k_s30k,1.0,1.223125,
1900,121598100,19.622502088546753,window_147M_2048_b64k_s30k,1.0,1.2234375,
1950,124798050,19.48625349998474,window_147M_2048_b64k_s30k,1.0,1.20203125,
2000,127998000,14.615872383117676,window_147M_2048_b64k_s30k,1.0,,1.156875
2000,127998000,34.551788091659546,window_147M_2048_b64k_s30k,1.0,1.185,
2050,131197950,19.50200891494751,window_147M_2048_b64k_s30k,1.0,1.16328125,
2100,134397900,19.4872727394104,window_147M_2048_b64k_s30k,1.0,1.16625,
2150,137597850,19.556074857711792,window_147M_2048_b64k_s30k,1.0,1.155625,
2200,140797800,20.289491653442383,window_147M_2048_b64k_s30k,1.0,1.14609375,
2250,143997750,19.417974948883057,window_147M_2048_b64k_s30k,1.0,1.12,
2300,147197700,19.539807081222534,window_147M_2048_b64k_s30k,1.0,1.107734375,
2350,150397650,19.4646577835083,window_147M_2048_b64k_s30k,1.0,1.12234375,
2400,153597600,19.44986915588379,window_147M_2048_b64k_s30k,1.0,1.103046875,
2450,156797550,19.36299443244934,window_147M_2048_b64k_s30k,1.0,1.0846875,
2500,159997500,14.621058940887451,window_147M_2048_b64k_s30k,1.0,,1.088125
2500,159997500,34.26237654685974,window_147M_2048_b64k_s30k,1.0,1.08828125,
2550,163197450,19.462050437927246,window_147M_2048_b64k_s30k,1.0,1.09015625,
2600,166397400,19.41361665725708,window_147M_2048_b64k_s30k,1.0,1.08296875,
2650,169597350,19.43388295173645,window_147M_2048_b64k_s30k,1.0,1.06953125,
2700,172797300,19.44269371032715,window_147M_2048_b64k_s30k,1.0,1.06796875,
2750,175997250,19.498623371124268,window_147M_2048_b64k_s30k,1.0,1.091015625,
2800,179197200,19.56413960456848,window_147M_2048_b64k_s30k,1.0,1.07453125,
2850,182397150,19.417041540145874,window_147M_2048_b64k_s30k,1.0,1.054609375,
2900,185597100,19.45656991004944,window_147M_2048_b64k_s30k,1.0,1.047265625,
2950,188797050,19.419479846954346,window_147M_2048_b64k_s30k,1.0,1.04390625,
3000,191997000,14.627207040786743,window_147M_2048_b64k_s30k,1.0,,1.0525390625
3000,191997000,34.298585653305054,window_147M_2048_b64k_s30k,1.0,1.0696875,
3050,195196950,19.541422605514526,window_147M_2048_b64k_s30k,1.0,1.058359375,
3100,198396900,19.430713176727295,window_147M_2048_b64k_s30k,1.0,1.0359375,
3150,201596850,19.41895580291748,window_147M_2048_b64k_s30k,1.0,1.053125,
3200,204796800,19.53159499168396,window_147M_2048_b64k_s30k,1.0,1.042265625,
3250,207996750,19.455618858337402,window_147M_2048_b64k_s30k,1.0,1.039453125,
3300,211196700,19.37384843826294,window_147M_2048_b64k_s30k,1.0,1.03203125,
3350,214396650,19.530439853668213,window_147M_2048_b64k_s30k,1.0,1.033125,
3400,217596600,19.504267692565918,window_147M_2048_b64k_s30k,1.0,1.05578125,
3450,220796550,19.41805076599121,window_147M_2048_b64k_s30k,1.0,1.0203125,
3500,223996500,14.623362064361572,window_147M_2048_b64k_s30k,1.0,,1.0288671875
3500,223996500,34.33707928657532,window_147M_2048_b64k_s30k,1.0,1.05078125,
3550,227196450,19.416358470916748,window_147M_2048_b64k_s30k,1.0,1.026875,
3600,230396400,19.40079951286316,window_147M_2048_b64k_s30k,1.0,1.021484375,
3650,233596350,19.334097146987915,window_147M_2048_b64k_s30k,1.0,1.026953125,
3700,236796300,19.441426753997803,window_147M_2048_b64k_s30k,1.0,1.024296875,
3750,239996250,19.462881803512573,window_147M_2048_b64k_s30k,1.0,1.012109375,
3800,243196200,19.547125577926636,window_147M_2048_b64k_s30k,1.0,1.008515625,
3850,246396150,19.449442625045776,window_147M_2048_b64k_s30k,1.0,1.019609375,
3900,249596100,19.386029720306396,window_147M_2048_b64k_s30k,1.0,1.0171875,
3950,252796050,19.446282386779785,window_147M_2048_b64k_s30k,1.0,1.0278125,
4000,255996000,14.620898008346558,window_147M_2048_b64k_s30k,1.0,,0.99625
4000,255996000,34.12758755683899,window_147M_2048_b64k_s30k,1.0,1.011015625,
4050,259195950,19.523783206939697,window_147M_2048_b64k_s30k,1.0,1.011015625,
4100,262395900,19.496265649795532,window_147M_2048_b64k_s30k,1.0,1.013125,
4150,265595850,19.47558617591858,window_147M_2048_b64k_s30k,1.0,1.013828125,
4200,268795800,19.519253969192505,window_147M_2048_b64k_s30k,1.0,1.032265625,
4250,271995750,19.41176676750183,window_147M_2048_b64k_s30k,1.0,0.999609375,
4300,275195700,19.450480937957764,window_147M_2048_b64k_s30k,1.0,1.016953125,
4350,278395650,19.369930505752563,window_147M_2048_b64k_s30k,1.0,1.007265625,
4400,281595600,19.37645435333252,window_147M_2048_b64k_s30k,1.0,1.015859375,
4450,284795550,19.457826852798462,window_147M_2048_b64k_s30k,1.0,1.01921875,
4500,287995500,14.643392324447632,window_147M_2048_b64k_s30k,1.0,,0.9862109375
4500,287995500,34.22744941711426,window_147M_2048_b64k_s30k,1.0,1.005546875,
4550,291195450,19.46055507659912,window_147M_2048_b64k_s30k,1.0,0.997421875,
4600,294395400,19.498660802841187,window_147M_2048_b64k_s30k,1.0,0.99953125,
4650,297595350,19.615802764892578,window_147M_2048_b64k_s30k,1.0,1.0115625,
4700,300795300,19.408912897109985,window_147M_2048_b64k_s30k,1.0,0.990234375,
4750,303995250,19.45933747291565,window_147M_2048_b64k_s30k,1.0,0.99453125,
4800,307195200,19.489800214767456,window_147M_2048_b64k_s30k,1.0,1.00109375,
4850,310395150,19.414170265197754,window_147M_2048_b64k_s30k,1.0,1.002734375,
4900,313595100,19.608797788619995,window_147M_2048_b64k_s30k,1.0,1.01671875,
4950,316795050,19.61259365081787,window_147M_2048_b64k_s30k,1.0,0.9884375,
5000,319995000,14.609213829040527,window_147M_2048_b64k_s30k,1.0,,0.982578125
5000,319995000,36.06219148635864,window_147M_2048_b64k_s30k,1.0,0.9865625,
5050,323194950,19.386098861694336,window_147M_2048_b64k_s30k,1.0,0.983359375,
5100,326394900,19.491276741027832,window_147M_2048_b64k_s30k,1.0,0.990546875,
5150,329594850,19.51402521133423,window_147M_2048_b64k_s30k,1.0,0.984296875,
5200,332794800,19.432738542556763,window_147M_2048_b64k_s30k,1.0,0.987265625,
5250,335994750,19.453898668289185,window_147M_2048_b64k_s30k,1.0,0.985,
5300,339194700,19.422796487808228,window_147M_2048_b64k_s30k,1.0,0.980625,
5350,342394650,19.401230096817017,window_147M_2048_b64k_s30k,1.0,0.980703125,
5400,345594600,19.52341604232788,window_147M_2048_b64k_s30k,1.0,0.982890625,
5450,348794550,19.4069561958313,window_147M_2048_b64k_s30k,1.0,0.973359375,
5500,351994500,14.68262791633606,window_147M_2048_b64k_s30k,1.0,,0.97171875
5500,351994500,34.22576332092285,window_147M_2048_b64k_s30k,1.0,0.96984375,
5550,355194450,19.45952606201172,window_147M_2048_b64k_s30k,1.0,0.975625,
5600,358394400,19.406447410583496,window_147M_2048_b64k_s30k,1.0,0.961171875,
5650,361594350,19.413429737091064,window_147M_2048_b64k_s30k,1.0,0.9725,
5700,364794300,19.515650272369385,window_147M_2048_b64k_s30k,1.0,0.97921875,
5750,367994250,19.499255895614624,window_147M_2048_b64k_s30k,1.0,0.976484375,
5800,371194200,19.40436100959778,window_147M_2048_b64k_s30k,1.0,0.971328125,
5850,374394150,19.387895822525024,window_147M_2048_b64k_s30k,1.0,0.962109375,
5900,377594100,19.46230411529541,window_147M_2048_b64k_s30k,1.0,0.96828125,
5950,380794050,19.39888072013855,window_147M_2048_b64k_s30k,1.0,0.960703125,
6000,383994000,14.62641191482544,window_147M_2048_b64k_s30k,1.0,,0.9584765625
6000,383994000,34.22848057746887,window_147M_2048_b64k_s30k,1.0,0.95296875,
6050,387193950,19.45806050300598,window_147M_2048_b64k_s30k,1.0,0.959296875,
6100,390393900,19.383213758468628,window_147M_2048_b64k_s30k,1.0,0.967265625,
6150,393593850,19.394320249557495,window_147M_2048_b64k_s30k,1.0,0.955234375,
6200,396793800,19.38047170639038,window_147M_2048_b64k_s30k,1.0,0.972421875,
6250,399993750,19.438005685806274,window_147M_2048_b64k_s30k,1.0,0.98390625,
6300,403193700,19.47276473045349,window_147M_2048_b64k_s30k,1.0,0.967890625,
6350,406393650,19.441715002059937,window_147M_2048_b64k_s30k,1.0,0.9734375,
6400,409593600,19.501654386520386,window_147M_2048_b64k_s30k,1.0,0.9784375,
6450,412793550,19.33622169494629,window_147M_2048_b64k_s30k,1.0,0.9578125,
6500,415993500,14.62674355506897,window_147M_2048_b64k_s30k,1.0,,0.9652734375
6500,415993500,34.37238574028015,window_147M_2048_b64k_s30k,1.0,0.976015625,
6550,419193450,19.48533010482788,window_147M_2048_b64k_s30k,1.0,0.971796875,
6600,422393400,19.504063367843628,window_147M_2048_b64k_s30k,1.0,0.969375,
6650,425593350,19.423879623413086,window_147M_2048_b64k_s30k,1.0,0.9584375,
6700,428793300,19.520587921142578,window_147M_2048_b64k_s30k,1.0,0.94609375,
6750,431993250,19.392307996749878,window_147M_2048_b64k_s30k,1.0,0.96546875,
6800,435193200,19.517170429229736,window_147M_2048_b64k_s30k,1.0,0.951796875,
6850,438393150,19.35945200920105,window_147M_2048_b64k_s30k,1.0,0.9446875,
6900,441593100,19.468454360961914,window_147M_2048_b64k_s30k,1.0,0.978984375,
6950,444793050,19.60888409614563,window_147M_2048_b64k_s30k,1.0,0.988671875,
7000,447993000,14.646169185638428,window_147M_2048_b64k_s30k,1.0,,0.953515625
