,impl,context_length,time_taken_ms,memory_used_mb
0,sdpa_causal,128,2.584158,2.515625
1,sdpa_causal,128,2.343258,2.515625
2,sdpa_causal,128,0.37482,2.515625
3,sdpa_causal,128,0.708277,2.515625
4,sdpa_causal,128,0.36856,2.515625
5,sdpa_causal,128,0.362351,2.515625
6,sdpa_causal,128,0.360648,2.515625
7,sdpa_causal,128,0.366336,2.515625
8,sdpa_causal,128,0.360408,2.515625
9,sdpa_causal,128,0.351685,2.515625
10,sdpa_causal,128,0.359277,2.515625
11,sdpa_causal,128,0.356011,2.515625
12,sdpa_causal,128,0.35552,2.515625
13,sdpa_causal,128,0.352806,2.515625
14,sdpa_causal,128,0.354429,2.515625
15,sdpa_causal,128,0.360388,2.515625
16,sdpa_causal,128,0.353717,2.515625
17,sdpa_causal,128,0.353528,2.515625
18,sdpa_causal,128,0.357484,2.515625
19,sdpa_causal,128,0.351665,2.515625
20,sdpa_causal,128,0.359787,2.515625
21,sdpa_causal,128,0.36149,2.515625
22,sdpa_causal,128,0.355921,2.515625
23,sdpa_causal,128,0.35489,2.515625
24,sdpa_causal,128,0.353528,2.515625
25,sdpa_causal,128,0.361449,2.515625
26,sdpa_causal,128,0.356142,2.515625
27,sdpa_causal,128,0.355981,2.515625
28,sdpa_causal,128,0.352796,2.515625
29,sdpa_causal,128,0.349942,2.515625
30,sdpa_causal,128,0.362812,2.515625
31,sdpa_causal,128,0.358125,2.515625
32,sdpa_causal,128,0.353117,2.515625
33,sdpa_causal,128,0.354489,2.515625
34,sdpa_causal,128,0.351174,2.515625
35,sdpa_causal,128,0.362231,2.515625
36,sdpa_causal,128,0.359146,2.515625
37,sdpa_causal,128,0.356712,2.515625
38,sdpa_causal,128,0.350704,2.515625
39,sdpa_causal,128,0.35478,2.515625
40,sdpa_causal,128,0.357974,2.515625
41,sdpa_causal,128,0.35465,2.515625
42,sdpa_causal,128,0.354909,2.515625
43,sdpa_causal,128,0.349572,2.515625
44,sdpa_causal,128,0.34817,2.515625
45,sdpa_causal,128,0.353287,2.515625
46,sdpa_causal,128,0.354088,2.515625
47,sdpa_causal,128,0.350203,2.515625
48,sdpa_causal,128,0.351255,2.515625
49,sdpa_causal,128,0.351625,2.515625
50,sdpa_causal,128,0.358795,2.515625
51,sdpa_causal,128,0.349271,2.515625
52,sdpa_causal,128,0.352166,2.515625
53,sdpa_causal,128,0.353377,2.515625
54,sdpa_causal,128,0.348971,2.515625
55,sdpa_causal,128,0.356072,2.515625
56,sdpa_causal,128,0.35516,2.515625
57,sdpa_causal,128,0.352397,2.515625
58,sdpa_causal,128,0.356232,2.515625
59,sdpa_causal,128,0.35558,2.515625
60,sdpa_causal,128,0.356853,2.515625
61,sdpa_causal,128,0.362642,2.515625
62,sdpa_causal,128,0.353848,2.515625
63,sdpa_causal,128,0.352095,2.515625
64,sdpa_causal,128,0.354469,2.515625
65,sdpa_causal,128,0.358515,2.515625
66,sdpa_causal,128,0.352516,2.515625
67,sdpa_causal,128,0.348901,2.515625
68,sdpa_causal,128,0.349492,2.515625
69,sdpa_causal,128,0.34786,2.515625
70,sdpa_causal,128,0.358485,2.515625
71,sdpa_causal,128,0.353387,2.515625
72,sdpa_causal,128,0.353518,2.515625
73,sdpa_causal,128,0.351685,2.515625
74,sdpa_causal,128,0.349352,2.515625
75,sdpa_causal,128,0.35503,2.515625
76,sdpa_causal,128,0.352586,2.515625
77,sdpa_causal,128,0.356573,2.515625
78,sdpa_causal,128,0.353978,2.515625
79,sdpa_causal,128,0.351455,2.515625
80,sdpa_causal,128,0.360368,2.515625
81,sdpa_causal,128,0.35454,2.515625
82,sdpa_causal,128,0.352817,2.515625
83,sdpa_causal,128,0.35529,2.515625
84,sdpa_causal,128,0.354038,2.515625
85,sdpa_causal,128,0.363052,2.515625
86,sdpa_causal,128,0.351195,2.515625
87,sdpa_causal,128,0.34881,2.515625
88,sdpa_causal,128,0.42232,2.515625
89,sdpa_causal,128,0.353398,2.515625
90,sdpa_causal,128,0.359146,2.515625
91,sdpa_causal,128,0.350262,2.515625
92,sdpa_causal,128,0.34819,2.515625
93,sdpa_causal,128,0.359056,2.515625
94,sdpa_causal,128,0.348901,2.515625
95,sdpa_causal,128,0.35519,2.515625
96,sdpa_causal,128,0.354228,2.515625
97,sdpa_causal,128,0.351225,2.515625
98,sdpa_causal,128,0.35505,2.515625
99,sdpa_causal,128,0.353778,2.515625
100,sdpa_causal,6528,1.701129,130.296875
101,sdpa_causal,6528,1.675472,130.296875
102,sdpa_causal,6528,1.666187,130.296875
103,sdpa_causal,6528,1.671395,130.296875
104,sdpa_causal,6528,1.657665,130.296875
105,sdpa_causal,6528,1.665877,130.296875
106,sdpa_causal,6528,1.662492,130.296875
107,sdpa_causal,6528,1.679397,130.296875
108,sdpa_causal,6528,1.643794,130.296875
109,sdpa_causal,6528,1.636934,130.296875
110,sdpa_causal,6528,1.655681,130.296875
111,sdpa_causal,6528,1.64787,130.296875
112,sdpa_causal,6528,1.650704,130.296875
113,sdpa_causal,6528,1.668982,130.296875
114,sdpa_causal,6528,1.678175,130.296875
115,sdpa_causal,6528,1.655532,130.296875
116,sdpa_causal,6528,1.656793,130.296875
117,sdpa_causal,6528,1.672466,130.296875
118,sdpa_causal,6528,1.664945,130.296875
119,sdpa_causal,6528,1.669101,130.296875
120,sdpa_causal,6528,1.643062,130.296875
121,sdpa_causal,6528,1.685396,130.296875
122,sdpa_causal,6528,1.658075,130.296875
123,sdpa_causal,6528,1.635121,130.296875
124,sdpa_causal,6528,1.633668,130.296875
125,sdpa_causal,6528,1.655831,130.296875
126,sdpa_causal,6528,1.621861,130.296875
127,sdpa_causal,6528,1.636332,130.296875
128,sdpa_causal,6528,1.630503,130.296875
129,sdpa_causal,6528,1.628091,130.296875
130,sdpa_causal,6528,1.647228,130.296875
131,sdpa_causal,6528,1.6477,130.296875
132,sdpa_causal,6528,1.64161,130.296875
133,sdpa_causal,6528,1.65512,130.296875
134,sdpa_causal,6528,1.65516,130.296875
135,sdpa_causal,6528,1.651265,130.296875
136,sdpa_causal,6528,1.65418,130.296875
137,sdpa_causal,6528,1.663113,130.296875
138,sdpa_causal,6528,1.682261,130.296875
139,sdpa_causal,6528,1.642652,130.296875
140,sdpa_causal,6528,1.654761,130.296875
141,sdpa_causal,6528,1.663122,130.296875
142,sdpa_causal,6528,1.664925,130.296875
143,sdpa_causal,6528,1.658896,130.296875
144,sdpa_causal,6528,1.649402,130.296875
145,sdpa_causal,6528,1.619968,130.296875
146,sdpa_causal,6528,1.68091,130.296875
147,sdpa_causal,6528,1.649502,130.296875
148,sdpa_causal,6528,1.659908,130.296875
149,sdpa_causal,6528,1.672817,130.296875
150,sdpa_causal,6528,1.711505,130.296875
