,impl,context_length,time_taken_ms,memory_used_mb
286,sdpa_causal,12928,4.769267,257.578125
287,sdpa_causal,12928,4.67802,256.828125
288,sdpa_causal,12928,4.76459,256.828125
289,sdpa_causal,12928,4.705872,257.578125
290,sdpa_causal,12928,4.6646,256.828125
291,sdpa_causal,12928,4.65121,256.828125
292,sdpa_causal,12928,4.614215,257.578125
293,sdpa_causal,12928,4.611621,256.828125
294,sdpa_causal,12928,4.641506,256.828125
295,sdpa_causal,12928,4.540845,257.578125
296,sdpa_causal,12928,4.607405,256.828125
297,sdpa_causal,12928,4.582407,256.828125
298,sdpa_causal,12928,4.56433,257.578125
299,sdpa_causal,12928,4.54448,256.828125
300,sdpa_causal,19328,10.54468,382.109375
301,sdpa_causal,19328,10.287805,382.109375
302,sdpa_causal,19328,10.071301,382.359375
303,sdpa_causal,19328,9.570782,382.109375
304,sdpa_causal,19328,9.327918,382.109375
305,sdpa_causal,19328,9.320177,382.359375
306,sdpa_causal,19328,9.251554,382.109375
307,sdpa_causal,19328,9.268991,382.109375
308,sdpa_causal,19328,9.260948,382.359375
309,sdpa_causal,19328,9.237633,382.109375
310,sdpa_causal,19328,9.26839,382.109375
311,sdpa_causal,19328,9.203172,382.359375
312,sdpa_causal,19328,9.20849,382.109375
313,sdpa_causal,19328,9.22882,382.109375
314,sdpa_causal,19328,9.294308,382.359375
315,sdpa_causal,19328,9.266417,382.109375
316,sdpa_causal,19328,9.352115,382.109375
317,sdpa_causal,19328,9.319065,382.359375
318,sdpa_causal,19328,9.410392,382.109375
319,sdpa_causal,19328,9.399336,382.109375
320,sdpa_causal,19328,9.397612,382.359375
321,sdpa_causal,19328,9.234219,382.109375
322,sdpa_causal,19328,9.312195,382.109375
323,sdpa_causal,19328,9.308068,382.359375
324,sdpa_causal,19328,9.293688,382.109375
325,sdpa_causal,19328,9.273177,382.109375
326,sdpa_causal,19328,9.30258,382.359375
327,sdpa_causal,19328,9.319546,382.109375
328,sdpa_causal,19328,9.318054,382.109375
329,sdpa_causal,19328,9.273276,382.359375
