step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity
59,2949941,0.9626131057739258,smollm/baseline,8192,8192,128,0.06,2.8866636753082275,,17.933378219604492,
60,2999940,0.9487948417663574,smollm/baseline,8192,8192,128,0.061,2.8350720405578613,,17.031627655029297,
61,3049939,1.0059220790863037,smollm/baseline,8192,8192,128,0.062,2.822591543197632,,16.820384979248047,
62,3099938,1.00278639793396,smollm/baseline,8192,8192,128,0.063,2.7987213134765625,,16.423633575439453,
63,3149937,0.9540109634399414,smollm/baseline,8192,8192,128,0.064,2.7184481620788574,,15.156783103942871,
64,3199936,0.9857110977172852,smollm/baseline,8192,8192,128,0.065,2.7734463214874268,,16.01372718811035,
65,3249935,0.9404046535491943,smollm/baseline,8192,8192,128,0.066,2.895042896270752,,18.084278106689453,
66,3299934,0.9478638172149658,smollm/baseline,8192,8192,128,0.067,2.85404634475708,,17.35787582397461,
67,3349933,0.9430596828460693,smollm/baseline,8192,8192,128,0.068,3.004352569580078,,20.17315101623535,
68,3399932,0.9485681056976318,smollm/baseline,8192,8192,128,0.069,3.062047243118286,,21.371265411376953,
69,3449931,0.9761879444122314,smollm/baseline,8192,8192,128,0.07,2.9969658851623535,,20.024686813354492,
70,3499930,0.9491040706634521,smollm/baseline,8192,8192,128,0.071,2.930302619934082,,18.733299255371094,
71,3549929,0.9669301509857178,smollm/baseline,8192,8192,128,0.072,2.9243993759155273,,18.623037338256836,
72,3599928,0.9418885707855225,smollm/baseline,8192,8192,128,0.073,2.941056966781616,,18.935850143432617,
73,3649927,0.964195728302002,smollm/baseline,8192,8192,128,0.074,2.805241346359253,,16.531064987182617,
74,3699926,0.9721517562866211,smollm/baseline,8192,8192,128,0.075,2.8268508911132812,,16.892181396484375,
75,3749925,0.9456241130828857,smollm/baseline,8192,8192,128,0.076,2.8667383193969727,,17.579586029052734,
76,3799924,0.965911865234375,smollm/baseline,8192,8192,128,0.077,2.9164044857025146,,18.474740982055664,
77,3849923,0.943061113357544,smollm/baseline,8192,8192,128,0.078,2.9084324836730957,,18.328046798706055,
78,3899922,0.9821550846099854,smollm/baseline,8192,8192,128,0.079,2.8478145599365234,,17.250041961669922,
79,3949921,1.0444891452789307,smollm/baseline,8192,8192,128,0.08,2.907418727874756,,18.30947494506836,
80,3999920,0.9413847923278809,smollm/baseline,8192,8192,128,0.081,2.998577356338501,,20.056982040405273,
81,4049919,0.9669344425201416,smollm/baseline,8192,8192,128,0.082,2.9911322593688965,,19.90821075439453,
82,4099918,1.012927532196045,smollm/baseline,8192,8192,128,0.083,2.9590325355529785,,19.27931022644043,
83,4149917,0.9431736469268799,smollm/baseline,8192,8192,128,0.084,2.782855987548828,,16.165122985839844,
84,4199916,1.000359296798706,smollm/baseline,8192,8192,128,0.085,2.7717130184173584,,15.985995292663574,
85,4249915,1.002551794052124,smollm/baseline,8192,8192,128,0.086,2.7935917377471924,,16.339601516723633,
86,4299914,0.9930694103240967,smollm/baseline,8192,8192,128,0.087,2.8565258979797363,,17.400968551635742,
87,4349913,0.9746050834655762,smollm/baseline,8192,8192,128,0.088,2.899693727493286,,18.1685791015625,
88,4399912,0.9645121097564697,smollm/baseline,8192,8192,128,0.089,2.819898843765259,,16.77515411376953,
89,4449911,0.9712207317352295,smollm/baseline,8192,8192,128,0.09,2.8432157039642334,,17.1708927154541,
90,4499910,0.9912407398223877,smollm/baseline,8192,8192,128,0.091,2.97293758392334,,19.54926300048828,
91,4549909,1.0313811302185059,smollm/baseline,8192,8192,128,0.092,3.0346312522888184,,20.79330825805664,
92,4599908,0.9700980186462402,smollm/baseline,8192,8192,128,0.093,3.0006725788116455,,20.099050521850586,
93,4649907,0.9823360443115234,smollm/baseline,8192,8192,128,0.094,2.988893747329712,,19.86369514465332,
94,4699906,0.9625186920166016,smollm/baseline,8192,8192,128,0.095,3.025800943374634,,20.610506057739258,
95,4749905,1.1434760093688965,smollm/baseline,8192,8192,128,0.096,3.3411123752593994,,28.250534057617188,
96,4799904,1.0533342361450195,smollm/baseline,8192,8192,128,0.097,3.147749185562134,,23.283597946166992,
97,4849903,0.9791615009307861,smollm/baseline,8192,8192,128,0.098,2.848310947418213,,17.25860595703125,
98,4899902,0.9587295055389404,smollm/baseline,8192,8192,128,0.099,2.9221534729003906,,18.58125877380371,
99,4949901,0.9262664318084717,smollm/baseline,8192,8192,128,0.1,2.860710382461548,,17.473936080932617,
100,4999900,5.392059564590454,smollm/baseline,8192,8192,128,0.101,,2.88125,,17.8365535736084
100,4999900,6.4315173625946045,smollm/baseline,8192,8192,128,0.101,2.801520824432373,,16.469675064086914,
101,5049899,0.9571361541748047,smollm/baseline,8192,8192,128,0.102,2.784213066101074,,16.187074661254883,
102,5099898,1.041705846786499,smollm/baseline,8192,8192,128,0.103,3.0081582069396973,,20.25006866455078,
103,5149897,1.0443871021270752,smollm/baseline,8192,8192,128,0.104,3.071810722351074,,21.580944061279297,
104,5199896,0.9455702304840088,smollm/baseline,8192,8192,128,0.105,2.865426778793335,,17.55654525756836,
105,5249895,0.9540109634399414,smollm/baseline,8192,8192,128,0.106,2.8552708625793457,,17.3791446685791,
106,5299894,0.9627125263214111,smollm/baseline,8192,8192,128,0.107,2.9014952182769775,,18.201339721679688,
107,5349893,0.9632349014282227,smollm/baseline,8192,8192,128,0.108,2.821347713470459,,16.799476623535156,
108,5399892,1.0032453536987305,smollm/baseline,8192,8192,128,0.109,2.7420308589935303,,15.518468856811523,
109,5449891,0.98213791847229,smollm/baseline,8192,8192,128,0.11,2.80733323097229,,16.56568145751953,
110,5499890,0.9466800689697266,smollm/baseline,8192,8192,128,0.111,2.8004393577575684,,16.451873779296875,
111,5549889,0.965158224105835,smollm/baseline,8192,8192,128,0.112,2.778588056564331,,16.096277236938477,
112,5599888,0.9491963386535645,smollm/baseline,8192,8192,128,0.113,2.7843356132507324,,16.189058303833008,
113,5649887,0.986518383026123,smollm/baseline,8192,8192,128,0.114,2.698331117630005,,14.85491943359375,
114,5699886,0.989126443862915,smollm/baseline,8192,8192,128,0.115,2.995745897293091,,20.000272750854492,
115,5749885,0.9601585865020752,smollm/baseline,8192,8192,128,0.116,3.0428876876831055,,20.9656982421875,
116,5799884,0.9564695358276367,smollm/baseline,8192,8192,128,0.117,2.7235007286071777,,15.23355770111084,
117,5849883,1.0511722564697266,smollm/baseline,8192,8192,128,0.118,2.704789161682129,,14.951164245605469,
118,5899882,0.9518129825592041,smollm/baseline,8192,8192,128,0.119,3.017735719680786,,20.4449462890625,
119,5949881,1.036346435546875,smollm/baseline,8192,8192,128,0.12,3.0947718620300293,,22.08220100402832,
120,5999880,0.9880867004394531,smollm/baseline,8192,8192,128,0.121,2.884241819381714,,17.889999389648438,
121,6049879,0.9602723121643066,smollm/baseline,8192,8192,128,0.122,2.873610258102417,,17.700807571411133,
122,6099878,0.9572951793670654,smollm/baseline,8192,8192,128,0.123,2.9061543941497803,,18.286340713500977,
123,6149877,0.9417276382446289,smollm/baseline,8192,8192,128,0.124,2.914689779281616,,18.443090438842773,
124,6199876,0.960132360458374,smollm/baseline,8192,8192,128,0.125,2.841801166534424,,17.146621704101562,
125,6249875,0.9816224575042725,smollm/baseline,8192,8192,128,0.126,2.864063024520874,,17.532617568969727,
126,6299874,1.066706895828247,smollm/baseline,8192,8192,128,0.127,3.065901517868042,,21.453794479370117,
127,6349873,0.9574723243713379,smollm/baseline,8192,8192,128,0.128,3.025439500808716,,20.603057861328125,
128,6399872,0.9531660079956055,smollm/baseline,8192,8192,128,0.129,3.0373058319091797,,20.848997116088867,
129,6449871,0.9845538139343262,smollm/baseline,8192,8192,128,0.13,3.069472312927246,,21.53053855895996,
130,6499870,1.00892972946167,smollm/baseline,8192,8192,128,0.131,2.9867069721221924,,19.8203067779541,
131,6549869,1.0782737731933594,smollm/baseline,8192,8192,128,0.132,2.890477180480957,,18.00189781188965,
132,6599868,0.9604189395904541,smollm/baseline,8192,8192,128,0.133,2.7366881370544434,,15.435779571533203,
133,6649867,0.9850583076477051,smollm/baseline,8192,8192,128,0.134,2.832242488861084,,16.983503341674805,
134,6699866,1.0509660243988037,smollm/baseline,8192,8192,128,0.135,2.829150915145874,,16.93107795715332,
135,6749865,0.9326686859130859,smollm/baseline,8192,8192,128,0.136,2.8455498218536377,,17.21101951599121,
136,6799864,0.9497463703155518,smollm/baseline,8192,8192,128,0.137,2.870574951171875,,17.64716148376465,
137,6849863,0.9700794219970703,smollm/baseline,8192,8192,128,0.138,2.8004562854766846,,16.452152252197266,
138,6899862,0.967247486114502,smollm/baseline,8192,8192,128,0.139,2.824613571166992,,16.85443115234375,
139,6949861,0.9544351100921631,smollm/baseline,8192,8192,128,0.14,2.8348968029022217,,17.028642654418945,
140,6999860,1.0039443969726562,smollm/baseline,8192,8192,128,0.141,2.6882119178771973,,14.705357551574707,
141,7049859,1.0391955375671387,smollm/baseline,8192,8192,128,0.142,2.759284257888794,,15.788537979125977,
142,7099858,0.9826288223266602,smollm/baseline,8192,8192,128,0.143,2.903179883956909,,18.23202896118164,
143,7149857,0.9758408069610596,smollm/baseline,8192,8192,128,0.144,3.051240921020508,,21.141563415527344,
144,7199856,0.9859790802001953,smollm/baseline,8192,8192,128,0.145,3.0130808353424072,,20.349998474121094,
145,7249855,1.0117542743682861,smollm/baseline,8192,8192,128,0.146,2.954982280731201,,19.20138168334961,
146,7299854,0.9487690925598145,smollm/baseline,8192,8192,128,0.147,2.89935040473938,,18.162343978881836,
147,7349853,0.941411018371582,smollm/baseline,8192,8192,128,0.148,2.8901755809783936,,17.996469497680664,
148,7399852,0.936180830001831,smollm/baseline,8192,8192,128,0.149,2.868218183517456,,17.605619430541992,
149,7449851,0.93410325050354,smollm/baseline,8192,8192,128,0.15,2.7602624893188477,,15.803990364074707,
150,7499850,5.39328932762146,smollm/baseline,8192,8192,128,0.151,,2.88125,,17.8365535736084
150,7499850,6.434346437454224,smollm/baseline,8192,8192,128,0.151,2.828188419342041,,16.914791107177734,
151,7549849,0.9586760997772217,smollm/baseline,8192,8192,128,0.152,2.8744990825653076,,17.7165470123291,
152,7599848,1.0566489696502686,smollm/baseline,8192,8192,128,0.153,2.767164468765259,,15.913446426391602,
153,7649847,0.931699275970459,smollm/baseline,8192,8192,128,0.154,2.7906458377838135,,16.29153823852539,
154,7699846,0.9908735752105713,smollm/baseline,8192,8192,128,0.155,2.801384449005127,,16.467430114746094,
155,7749845,0.9534695148468018,smollm/baseline,8192,8192,128,0.156,2.8380517959594727,,17.08245277404785,
156,7799844,0.9524660110473633,smollm/baseline,8192,8192,128,0.157,2.933351755142212,,18.79050636291504,
157,7849843,0.996906042098999,smollm/baseline,8192,8192,128,0.158,2.8756465911865234,,17.736888885498047,
158,7899842,1.0588710308074951,smollm/baseline,8192,8192,128,0.159,2.853191375732422,,17.343042373657227,
159,7949841,0.9749517440795898,smollm/baseline,8192,8192,128,0.16,2.91141939163208,,18.382871627807617,
160,7999840,1.0159530639648438,smollm/baseline,8192,8192,128,0.161,2.907528877258301,,18.311492919921875,
161,8049839,0.9641118049621582,smollm/baseline,8192,8192,128,0.162,2.907381296157837,,18.30879020690918,
162,8099838,0.9380998611450195,smollm/baseline,8192,8192,128,0.163,2.8669986724853516,,17.584163665771484,
163,8149837,0.9489562511444092,smollm/baseline,8192,8192,128,0.164,2.831291675567627,,16.967363357543945,
164,8199836,0.9710898399353027,smollm/baseline,8192,8192,128,0.165,2.875398874282837,,17.73249626159668,
165,8249835,0.9443948268890381,smollm/baseline,8192,8192,128,0.166,2.789226770401001,,16.268436431884766,
166,8299834,0.9351863861083984,smollm/baseline,8192,8192,128,0.167,2.7521321773529053,,15.676020622253418,
167,8349833,0.9392035007476807,smollm/baseline,8192,8192,128,0.168,2.776090145111084,,16.056121826171875,
168,8399832,1.0354137420654297,smollm/baseline,8192,8192,128,0.169,2.823721408843994,,16.839401245117188,
169,8449831,0.9625651836395264,smollm/baseline,8192,8192,128,0.17,2.921626567840576,,18.571470260620117,
170,8499830,0.9610164165496826,smollm/baseline,8192,8192,128,0.171,2.928485155105591,,18.699281692504883,
171,8549829,1.0090219974517822,smollm/baseline,8192,8192,128,0.172,2.9285261631011963,,18.700048446655273,
172,8599828,0.9422934055328369,smollm/baseline,8192,8192,128,0.173,2.9057602882385254,,18.279136657714844,
173,8649827,0.9362466335296631,smollm/baseline,8192,8192,128,0.174,2.816840410232544,,16.723926544189453,
174,8699826,1.0043237209320068,smollm/baseline,8192,8192,128,0.175,2.719916582107544,,15.179056167602539,
175,8749825,0.9554839134216309,smollm/baseline,8192,8192,128,0.176,2.7476348876953125,,15.60567855834961,
176,8799824,0.9580128192901611,smollm/baseline,8192,8192,128,0.177,2.7720279693603516,,15.9910306930542,
177,8849823,0.9446539878845215,smollm/baseline,8192,8192,128,0.178,2.8605334758758545,,17.470844268798828,
178,8899822,1.0144703388214111,smollm/baseline,8192,8192,128,0.179,2.9070045948028564,,18.301895141601562,
179,8949821,0.9958887100219727,smollm/baseline,8192,8192,128,0.18,2.9370265007019043,,18.859683990478516,
180,8999820,0.9667713642120361,smollm/baseline,8192,8192,128,0.181,2.8608343601226807,,17.476102828979492,
181,9049819,0.9839048385620117,smollm/baseline,8192,8192,128,0.182,2.8595733642578125,,17.454078674316406,
182,9099818,0.9464211463928223,smollm/baseline,8192,8192,128,0.183,2.9212727546691895,,18.56490135192871,
183,9149817,0.9538793563842773,smollm/baseline,8192,8192,128,0.184,2.856443405151367,,17.399534225463867,
184,9199816,0.9616377353668213,smollm/baseline,8192,8192,128,0.185,2.9219818115234375,,18.57806968688965,
185,9249815,0.9825787544250488,smollm/baseline,8192,8192,128,0.186,2.897630214691162,,18.131128311157227,
186,9299814,0.9786674976348877,smollm/baseline,8192,8192,128,0.187,2.8660738468170166,,17.567909240722656,
187,9349813,0.9712550640106201,smollm/baseline,8192,8192,128,0.188,2.881976366043091,,17.849515914916992,
188,9399812,0.9880845546722412,smollm/baseline,8192,8192,128,0.189,2.8648767471313477,,17.546890258789062,
189,9449811,0.9515159130096436,smollm/baseline,8192,8192,128,0.19,2.7528367042541504,,15.687067985534668,
190,9499810,0.9320840835571289,smollm/baseline,8192,8192,128,0.191,2.6822123527526855,,14.617396354675293,
191,9549809,0.995246171951294,smollm/baseline,8192,8192,128,0.192,2.6986310482025146,,14.859375953674316,
192,9599808,0.9508523941040039,smollm/baseline,8192,8192,128,0.193,2.829697608947754,,16.940338134765625,
193,9649807,0.9613316059112549,smollm/baseline,8192,8192,128,0.194,2.8594019412994385,,17.451087951660156,
194,9699806,0.9488680362701416,smollm/baseline,8192,8192,128,0.195,2.8766632080078125,,17.75493049621582,
195,9749805,0.961944580078125,smollm/baseline,8192,8192,128,0.196,2.896160125732422,,18.1044921875,
196,9799804,0.9794740676879883,smollm/baseline,8192,8192,128,0.197,2.870049476623535,,17.63789176940918,
197,9849803,0.9493601322174072,smollm/baseline,8192,8192,128,0.198,2.943045139312744,,18.973535537719727,
198,9899802,1.046884298324585,smollm/baseline,8192,8192,128,0.199,2.7846765518188477,,16.194578170776367,
199,9949801,1.0189208984375,smollm/baseline,8192,8192,128,0.2,2.773508071899414,,16.01471710205078,
200,9999800,5.3907151222229,smollm/baseline,8192,8192,128,0.201,,2.88125,,17.8365535736084
200,9999800,6.491134881973267,smollm/baseline,8192,8192,128,0.201,2.9687256813049316,,19.46709632873535,
201,10049799,1.0123343467712402,smollm/baseline,8192,8192,128,0.202,2.725935220718384,,15.270689010620117,
202,10099798,1.087688684463501,smollm/baseline,8192,8192,128,0.203,2.7066991329193115,,14.979747772216797,
203,10149797,1.061159372329712,smollm/baseline,8192,8192,128,0.204,2.8823082447052,,17.855440139770508,
204,10199796,0.94142746925354,smollm/baseline,8192,8192,128,0.205,2.9055752754211426,,18.275754928588867,
205,10249795,0.9542558193206787,smollm/baseline,8192,8192,128,0.206,2.999250888824463,,20.07049560546875,
206,10299794,0.9820659160614014,smollm/baseline,8192,8192,128,0.207,2.952733039855957,,19.15824317932129,
207,10349793,0.9447212219238281,smollm/baseline,8192,8192,128,0.208,2.808786392211914,,16.589773178100586,
208,10399792,0.9571259021759033,smollm/baseline,8192,8192,128,0.209,2.8096370697021484,,16.603891372680664,
209,10449791,0.9807488918304443,smollm/baseline,8192,8192,128,0.21,2.898716449737549,,18.150833129882812,
210,10499790,0.9714903831481934,smollm/baseline,8192,8192,128,0.211,2.859299421310425,,17.449298858642578,
211,10549789,0.9608099460601807,smollm/baseline,8192,8192,128,0.212,2.8795745372772217,,17.80669593811035,
212,10599788,0.9527089595794678,smollm/baseline,8192,8192,128,0.213,2.9707353115081787,,19.506258010864258,
213,10649787,0.964451789855957,smollm/baseline,8192,8192,128,0.214,2.893688917160034,,18.0598087310791,
214,10699786,0.9716892242431641,smollm/baseline,8192,8192,128,0.215,2.9005026817321777,,18.18328285217285,
215,10749785,0.9568324089050293,smollm/baseline,8192,8192,128,0.216,2.940746307373047,,18.929967880249023,
216,10799784,0.9564507007598877,smollm/baseline,8192,8192,128,0.217,2.804995059967041,,16.526994705200195,
217,10849783,0.9652187824249268,smollm/baseline,8192,8192,128,0.218,2.8159291744232178,,16.708694458007812,
218,10899782,0.9855856895446777,smollm/baseline,8192,8192,128,0.219,2.9870519638061523,,19.827144622802734,
219,10949781,0.9993801116943359,smollm/baseline,8192,8192,128,0.22,2.884500503540039,,17.89462661743164,
220,10999780,0.980694055557251,smollm/baseline,8192,8192,128,0.221,2.719082832336426,,15.16640567779541,
221,11049779,0.9517185688018799,smollm/baseline,8192,8192,128,0.222,2.9405715465545654,,18.926660537719727,
222,11099778,0.9631376266479492,smollm/baseline,8192,8192,128,0.223,3.02339243888855,,20.560924530029297,
223,11149777,0.9505734443664551,smollm/baseline,8192,8192,128,0.224,2.931750535964966,,18.76044273376465,
224,11199776,0.9362313747406006,smollm/baseline,8192,8192,128,0.225,2.899488687515259,,18.16485595703125,
225,11249775,0.9880998134613037,smollm/baseline,8192,8192,128,0.226,2.7459359169006348,,15.579188346862793,
226,11299774,0.9842627048492432,smollm/baseline,8192,8192,128,0.227,2.7251038551330566,,15.2579984664917,
227,11349773,1.0560061931610107,smollm/baseline,8192,8192,128,0.228,2.851184129714966,,17.308265686035156,
228,11399772,0.9954349994659424,smollm/baseline,8192,8192,128,0.229,2.794569969177246,,16.355594635009766,
229,11449771,0.9992761611938477,smollm/baseline,8192,8192,128,0.23,2.753148078918457,,15.691953659057617,
230,11499770,1.0013506412506104,smollm/baseline,8192,8192,128,0.231,2.8482625484466553,,17.257770538330078,
231,11549769,0.9722251892089844,smollm/baseline,8192,8192,128,0.232,2.810802698135376,,16.62325668334961,
232,11599768,0.9815311431884766,smollm/baseline,8192,8192,128,0.233,2.7256968021392822,,15.267047882080078,
233,11649767,0.9700281620025635,smollm/baseline,8192,8192,128,0.234,2.873257875442505,,17.694570541381836,
234,11699766,0.9756081104278564,smollm/baseline,8192,8192,128,0.235,2.9152417182922363,,18.453271865844727,
235,11749765,0.9659767150878906,smollm/baseline,8192,8192,128,0.236,3.098494052886963,,22.164546966552734,
236,11799764,1.006721019744873,smollm/baseline,8192,8192,128,0.237,3.2355287075042725,,25.41980743408203,
237,11849763,1.2724840641021729,smollm/baseline,8192,8192,128,0.238,3.0878849029541016,,21.93064308166504,
238,11899762,1.1670668125152588,smollm/baseline,8192,8192,128,0.239,2.8755059242248535,,17.734394073486328,
239,11949761,0.9850091934204102,smollm/baseline,8192,8192,128,0.24,2.7429349422454834,,15.53250503540039,
240,11999760,0.9890508651733398,smollm/baseline,8192,8192,128,0.241,2.794631242752075,,16.356595993041992,
241,12049759,0.9951426982879639,smollm/baseline,8192,8192,128,0.242,2.7932968139648438,,16.33478355407715,
242,12099758,0.9471347332000732,smollm/baseline,8192,8192,128,0.243,2.781954765319824,,16.15056037902832,
243,12149757,1.0116980075836182,smollm/baseline,8192,8192,128,0.244,2.9416370391845703,,18.94683837890625,
244,12199756,0.9558706283569336,smollm/baseline,8192,8192,128,0.245,3.010873317718506,,20.305124282836914,
245,12249755,0.964310884475708,smollm/baseline,8192,8192,128,0.246,2.87168550491333,,17.666770935058594,
246,12299754,0.9913034439086914,smollm/baseline,8192,8192,128,0.247,2.8620078563690186,,17.49662208557129,
247,12349753,0.9791576862335205,smollm/baseline,8192,8192,128,0.248,3.0081207752227783,,20.249311447143555,
248,12399752,0.9764494895935059,smollm/baseline,8192,8192,128,0.249,2.97166109085083,,19.524324417114258,
249,12449751,1.1086695194244385,smollm/baseline,8192,8192,128,0.25,2.975522041320801,,19.599851608276367,
250,12499750,5.40554404258728,smollm/baseline,8192,8192,128,0.251,,2.8796875,,17.80870819091797
250,12499750,6.628453969955444,smollm/baseline,8192,8192,128,0.251,2.941239833831787,,18.939313888549805,
251,12549749,0.9900438785552979,smollm/baseline,8192,8192,128,0.252,2.7764055728912354,,16.061185836791992,
252,12599748,0.9855294227600098,smollm/baseline,8192,8192,128,0.253,2.893909454345703,,18.063791275024414,
253,12649747,0.9970567226409912,smollm/baseline,8192,8192,128,0.254,3.01145076751709,,20.31685447692871,
254,12699746,1.0464940071105957,smollm/baseline,8192,8192,128,0.255,2.785689115524292,,16.21098518371582,
