step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
0,0,171.55295658111572,smollm-135M-50k/mem128,8192,50000,128,0.0005,2.9551782608032227,,19.20514678955078,,0.53515625
1,49999,90.98796486854553,smollm-135M-50k/mem128,8192,50000,128,0.001,2.8191728591918945,,16.76297950744629,,0.50390625
2,99998,0.8750162124633789,smollm-135M-50k/mem128,8192,50000,128,0.0015,2.780726194381714,,16.1307315826416,,0.546875
3,149997,0.8590726852416992,smollm-135M-50k/mem128,8192,50000,128,0.002,2.7872560024261475,,16.236406326293945,,0.5390625
4,199996,0.8415548801422119,smollm-135M-50k/mem128,8192,50000,128,0.0025,2.8680710792541504,,17.603031158447266,,0.57421875
5,249995,0.822307825088501,smollm-135M-50k/mem128,8192,50000,128,0.003,2.9079291820526123,,18.318824768066406,,0.6015625
6,299994,0.8673460483551025,smollm-135M-50k/mem128,8192,50000,128,0.0035,2.8258137702941895,,16.874671936035156,,0.5
7,349993,0.8848583698272705,smollm-135M-50k/mem128,8192,50000,128,0.004,3.042117118835449,,20.949548721313477,,0.5234375
8,399992,0.9466776847839355,smollm-135M-50k/mem128,8192,50000,128,0.0045,2.9827864170074463,,19.742752075195312,,1.1953125
9,449991,0.8333265781402588,smollm-135M-50k/mem128,8192,50000,128,0.005,2.7351582050323486,,15.412181854248047,,1.234375
10,499990,0.8847570419311523,smollm-135M-50k/mem128,8192,50000,128,0.0055,2.9709584712982178,,19.510610580444336,,0.52734375
11,549989,0.9056746959686279,smollm-135M-50k/mem128,8192,50000,128,0.006,2.8676469326019287,,17.595565795898438,,0.50390625
12,599988,1.2618069648742676,smollm-135M-50k/mem128,8192,50000,128,0.0065,4.592780113220215,,98.76863861083984,,20.125
13,649987,1.002685308456421,smollm-135M-50k/mem128,8192,50000,128,0.007,3.182525634765625,,24.107563018798828,,5.4375
14,699986,0.8839647769927979,smollm-135M-50k/mem128,8192,50000,128,0.0075,2.8658297061920166,,17.56361961364746,,0.486328125
15,749985,0.8290257453918457,smollm-135M-50k/mem128,8192,50000,128,0.008,2.9460339546203613,,19.03032875061035,,0.5546875
16,799984,0.8295881748199463,smollm-135M-50k/mem128,8192,50000,128,0.0085,2.949622392654419,,19.098739624023438,,0.57421875
17,849983,0.8566839694976807,smollm-135M-50k/mem128,8192,50000,128,0.009,2.93122935295105,,18.750667572021484,,0.51171875
18,899982,0.8476319313049316,smollm-135M-50k/mem128,8192,50000,128,0.0095,2.8997676372528076,,18.169921875,,0.49609375
19,949981,0.8365068435668945,smollm-135M-50k/mem128,8192,50000,128,0.01,2.9497148990631104,,19.100507736206055,,0.5390625
20,999980,0.8812053203582764,smollm-135M-50k/mem128,8192,50000,128,0.0105,2.9095425605773926,,18.348403930664062,,0.5078125
21,1049979,1.0056142807006836,smollm-135M-50k/mem128,8192,50000,128,0.011,2.835705518722534,,17.04241943359375,,0.62109375
22,1099978,0.9168624877929688,smollm-135M-50k/mem128,8192,50000,128,0.0115,2.863682270050049,,17.525943756103516,,0.5625
23,1149977,0.8941993713378906,smollm-135M-50k/mem128,8192,50000,128,0.012,3.0095667839050293,,20.27861213684082,,0.58203125
24,1199976,0.827202320098877,smollm-135M-50k/mem128,8192,50000,128,0.0125,3.0475308895111084,,21.06327247619629,,0.61328125
25,1249975,0.9241747856140137,smollm-135M-50k/mem128,8192,50000,128,0.013,2.8719587326049805,,17.671598434448242,,0.490234375
26,1299974,0.9734694957733154,smollm-135M-50k/mem128,8192,50000,128,0.0135,2.7621939182281494,,15.83454418182373,,0.49609375
27,1349973,0.8281550407409668,smollm-135M-50k/mem128,8192,50000,128,0.014,2.825932025909424,,16.876667022705078,,0.58203125
28,1399972,0.8721997737884521,smollm-135M-50k/mem128,8192,50000,128,0.0145,2.99634051322937,,20.012168884277344,,0.515625
29,1449971,0.8624217510223389,smollm-135M-50k/mem128,8192,50000,128,0.015,2.9270896911621094,,18.673206329345703,,0.4765625
30,1499970,0.8777894973754883,smollm-135M-50k/mem128,8192,50000,128,0.0155,2.8711681365966797,,17.65763282775879,,0.45703125
31,1549969,0.8734488487243652,smollm-135M-50k/mem128,8192,50000,128,0.016,2.8166306018829346,,16.720417022705078,,0.478515625
32,1599968,0.8842597007751465,smollm-135M-50k/mem128,8192,50000,128,0.0165,2.5848190784454346,,13.260890007019043,,0.470703125
33,1649967,1.0110185146331787,smollm-135M-50k/mem128,8192,50000,128,0.017,2.550715923309326,,12.816275596618652,,0.470703125
34,1699966,1.0188531875610352,smollm-135M-50k/mem128,8192,50000,128,0.0175,2.7666263580322266,,15.904886245727539,,0.466796875
35,1749965,0.8450508117675781,smollm-135M-50k/mem128,8192,50000,128,0.018,2.8018951416015625,,16.475841522216797,,0.484375
36,1799964,0.8412308692932129,smollm-135M-50k/mem128,8192,50000,128,0.0185,2.8128488063812256,,16.657304763793945,,0.490234375
37,1849963,0.8205850124359131,smollm-135M-50k/mem128,8192,50000,128,0.019,2.9640071392059326,,19.375455856323242,,0.51953125
38,1899962,0.8774573802947998,smollm-135M-50k/mem128,8192,50000,128,0.0195,2.880930185317993,,17.83085060119629,,0.52734375
39,1949961,0.8471167087554932,smollm-135M-50k/mem128,8192,50000,128,0.02,2.733595609664917,,15.388117790222168,,0.50390625
40,1999960,0.8472034931182861,smollm-135M-50k/mem128,8192,50000,128,0.0205,2.699547529220581,,14.873001098632812,,0.5546875
41,2049959,0.8614873886108398,smollm-135M-50k/mem128,8192,50000,128,0.021,2.795750379562378,,16.37491226196289,,0.546875
42,2099958,0.895850658416748,smollm-135M-50k/mem128,8192,50000,128,0.0215,2.970024347305298,,19.492393493652344,,0.53125
43,2149957,0.9244310855865479,smollm-135M-50k/mem128,8192,50000,128,0.022,3.0993857383728027,,22.1843204498291,,0.97265625
44,2199956,0.8305530548095703,smollm-135M-50k/mem128,8192,50000,128,0.0225,2.9260659217834473,,18.654098510742188,,0.5546875
45,2249955,0.8052182197570801,smollm-135M-50k/mem128,8192,50000,128,0.023,2.8709917068481445,,17.654518127441406,,0.609375
46,2299954,0.8165802955627441,smollm-135M-50k/mem128,8192,50000,128,0.0235,2.9310734272003174,,18.747743606567383,,0.63671875
47,2349953,0.8276064395904541,smollm-135M-50k/mem128,8192,50000,128,0.024,2.8735127449035645,,17.699081420898438,,0.609375
48,2399952,0.8373475074768066,smollm-135M-50k/mem128,8192,50000,128,0.0245,2.819908857345581,,16.77532196044922,,0.5546875
49,2449951,0.8168923854827881,smollm-135M-50k/mem128,8192,50000,128,0.025,2.794478178024292,,16.354093551635742,,0.5625
50,2499950,48.00034046173096,smollm-135M-50k/mem128,8192,50000,128,0.0255,,3.1328125,,22.938404083251953,
50,2499950,49.00471758842468,smollm-135M-50k/mem128,8192,50000,128,0.0255,2.8235599994659424,,16.83668327331543,,0.53125
51,2549949,1.05851149559021,smollm-135M-50k/mem128,8192,50000,128,0.026,2.9563443660736084,,19.227554321289062,,0.53515625
52,2599948,0.8919339179992676,smollm-135M-50k/mem128,8192,50000,128,0.0265,2.96622896194458,,19.41855239868164,,0.5390625
53,2649947,1.0112292766571045,smollm-135M-50k/mem128,8192,50000,128,0.027,2.847728729248047,,17.24856185913086,,0.5625
